기간	구분	계	아파트 연립다세대	단독주택	노상	상점	숙박업소목욕탕	유흥접객업소	사무실	역대합실	교통수단	유원지	학교	금융기관	기타
2012	계	137,725	5,375	6,874	28,387	5,000	3,990	7,353	2,668	939	1,796	968	1,308	1,314	71,753
2012	살인	179	26	26	32	1	2	9	9	1	-	3	1	-	69
2012	강도	570	23	51	151	65	13	31	8	4	3	4	1	4	212
2012	강간강제추행	4,908	306	387	743	44	511	279	77	101	460	43	18	1	1,938
2012	절도	61,436	2,862	3,604	9,011	4,002	2,953	2,911	1,039	382	877	459	894	1,257	31,185
2012	폭력	70,632	2,158	2,806	18,450	888	511	4,123	1,535	451	456	459	394	52	38,349
2013	계	132,966	9,273	11,596	46,873	8,791	5,393	12,658	3,656	1,600	2,826	1,481	1,357	1,992	25,470
2013	살인	152	26	41	29	4	4	12	6	1	-	3	-	-	26
2013	강도	420	37	39	141	69	16	37	17	2	3	3	2	-	54
2013	강간강제추행	5,387	412	503	1,150	104	775	498	116	211	685	65	38	2	828
2013	절도	61,585	5,001	5,922	14,183	6,909	3,779	5,093	1,536	665	1,261	774	1,018	1,891	13,553
2013	폭력	65,422	3,797	5,091	31,370	1,705	819	7,018	1,981	721	877	636	299	99	11,009
2014	계	130,674	5,671	7,325	39,067	5,068	2,320	5,993	2,940	874	2,079	1,057	679	1,530	56,071
2014	살인	158	22	36	33	-	8	6	9	-	1	1	-	-	42
2014	강도	343	37	36	92	45	10	17	11	2	1	5	-	-	87
2014	강간강제추행	5,462	296	404	1,007	102	471	364	127	144	694	48	26	1	1,778
2014	절도	59,393	2,765	3,655	11,931	3,988	1,506	2,452	1,216	401	936	472	425	1,482	28,164
2014	폭력	65,318	2,551	3,194	26,004	933	325	3,154	1,577	327	447	531	228	47	26,000
2015	계	126,401	5,039	6,408	37,548	4,816	1,638	5,004	2,458	843	2,173	951	640	1,322	57,561
2015	살인	163	20	39	37	1	3	5	3	-	-	4	1	-	50
2015	강도	276	20	23	70	34	15	14	8	-	3	1	-	3	85
2015	강간강제추행	5,449	283	346	924	73	395	342	91	181	812	51	46	1	1,904
2015	절도	55,307	1,866	2,498	11,407	3,903	952	2,204	994	407	1,026	424	397	1,273	27,956
2015	폭력	65,206	2,850	3,502	25,110	805	273	2,439	1,362	255	332	471	196	45	27,566
2016	계	117,839	4,660	6,266	35,003	5,385	1,533	5,098	2,052	808	2,197	854	636	1,127	52,220
2016	살인	148	12	30	22	1	4	8	1	-	-	2	-	1	67
2016	강도	262	20	15	86	34	9	13	8	-	1	2	-	1	73
2016	강간강제추행	6,002	284	395	986	95	389	398	132	181	841	59	33	2	2,207
2016	절도	46,857	1,504	2,246	9,356	4,403	828	2,034	682	355	889	367	400	1,081	22,712
2016	폭력	64,570	2,840	3,580	24,553	852	303	2,645	1,229	272	466	424	203	42	27,161
2017	계	107,835	4,523	5,092	32,063	5,047	1,437	5,077	1,772	908	2,359	754	518	1,024	47,261
2017	살인	142	21	25	27	1	5	10	5	-	1	1	-	-	46
2017	강도	169	20	11	43	22	8	5	5	1	-	1	-	3	50
2017	강간강제추행	6,963	319	413	1,061	116	408	495	130	242	1,105	51	49	1	2,573
2017	절도	41,162	1,209	1,340	8,255	4,119	670	1,809	564	335	744	282	247	990	20,598
2017	폭력	59,399	2,954	3,303	22,677	789	346	2,758	1,068	330	509	419	222	30	23,994
2018	계	101,948	7,682	8,150	32,372	8,635	2,410	9,356	2,354	1,455	3,110	1,152	634	1,375	23,263
2018	살인	143	29	40	24	3	3	8	6	1	1	1	-	-	27
2018	강도	143	10	16	42	27	10	4	6	1	1	-	-	2	24
2018	강간강제추행	6,412	441	538	978	170	553	851	114	280	968	57	60	6	1,396
2018	절도	39,175	1,907	2,020	9,087	6,990	1,249	3,231	721	531	1,001	613	296	1,302	10,227
2018	폭력	56,075	5,295	5,536	22,241	1,445	595	5,262	1,507	642	1,139	481	278	65	11,589
