,¿¬µµ,¿ù,ÆÀ¸í,R/G,Ãâ·çÀ²,ÀåÅ¸À²,OPS,º¼/»ï,ISO,RC/27,µµ½Ç
0,2015,3,·Ôµ¥,8.0,0.415,0.525,0.94,0.61,0.222,8.48,0.413
1,2015,3,µÎ»ê,6.5,0.35200000000000004,0.516,0.868,1.2,0.21899999999999997,6.44,0.37200000000000005
2,2015,3,KIA,5.0,0.38,0.55,0.93,1.29,0.267,7.82,0.402
3,2015,3,»ï¼º,5.67,0.379,0.469,0.848,0.67,0.15,7.36,0.379
4,2015,3,ÇÑÈ­,4.5,0.385,0.35100000000000003,0.736,0.81,0.094,5.18,0.348
5,2015,3,SK,4.0,0.311,0.344,0.655,0.69,0.125,3.58,0.301
6,2015,3,Hero,4.0,0.318,0.342,0.66,0.71,0.13699999999999998,4.08,0.306
7,2015,3,LG,2.67,0.36200000000000004,0.40399999999999997,0.7659999999999999,0.59,0.106,4.97,0.348
8,2015,3,KT,6.33,0.40299999999999997,0.41200000000000003,0.815,0.86,0.128,5.75,0.369
9,2015,3,NC,2.5,0.32899999999999996,0.313,0.642,0.67,0.044000000000000004,3.6,0.299
10,2015,4,»ï¼º,5.35,0.353,0.46799999999999997,0.821,0.64,0.19699999999999998,5.77,0.36
11,2015,4,µÎ»ê,5.77,0.36,0.445,0.805,0.66,0.16399999999999998,5.45,0.358
12,2015,4,LG,4.78,0.35600000000000004,0.384,0.74,0.57,0.125,4.77,0.33799999999999997
13,2015,4,SK,5.46,0.374,0.40700000000000003,0.7809999999999999,0.6,0.129,5.51,0.35600000000000004
14,2015,4,ÇÑÈ­,4.5,0.34299999999999997,0.389,0.732,0.5,0.13,4.51,0.331
15,2015,4,Hero,6.56,0.371,0.496,0.867,0.42,0.19699999999999998,6.58,0.382
16,2015,4,·Ôµ¥,5.59,0.36,0.452,0.812,0.5,0.188,5.66,0.36200000000000004
17,2015,4,NC,5.86,0.34700000000000003,0.439,0.7859999999999999,0.4,0.163,5.74,0.349
18,2015,4,KIA,4.52,0.332,0.358,0.69,0.47,0.10800000000000001,4.12,0.316
19,2015,4,KT,2.18,0.29,0.295,0.585,0.37,0.087,2.93,0.273
20,2015,5,NC,6.31,0.376,0.48200000000000004,0.858,0.5,0.182,6.71,0.379
21,2015,5,Hero,6.26,0.37200000000000005,0.494,0.866,0.45,0.2,6.59,0.38
22,2015,5,»ï¼º,5.8,0.375,0.43700000000000006,0.812,0.74,0.15,6.02,0.364
23,2015,5,µÎ»ê,5.3,0.368,0.409,0.777,0.72,0.132,5.37,0.35200000000000004
24,2015,5,·Ôµ¥,6.15,0.37799999999999995,0.503,0.8809999999999999,0.45,0.2,6.81,0.387
25,2015,5,SK,4.0,0.337,0.371,0.708,0.48,0.11900000000000001,4.35,0.324
26,2015,5,ÇÑÈ­,5.26,0.353,0.39799999999999996,0.7509999999999999,0.58,0.141,4.85,0.33899999999999997
27,2015,5,KIA,5.0,0.34700000000000003,0.405,0.752,0.43,0.138,4.98,0.33899999999999997
28,2015,5,LG,4.62,0.324,0.389,0.713,0.36,0.13699999999999998,4.38,0.321
29,2015,5,KT,4.18,0.341,0.35600000000000004,0.6970000000000001,0.46,0.09300000000000001,4.19,0.319
30,2015,6,Hero,6.29,0.374,0.465,0.8390000000000001,0.61,0.17600000000000002,6.24,0.373
31,2015,6,LG,5.0,0.35,0.428,0.778,0.43,0.151,5.35,0.348
32,2015,6,KIA,4.0,0.301,0.381,0.682,0.31,0.14400000000000002,3.91,0.307
33,2015,6,ÇÑÈ­,5.04,0.361,0.434,0.795,0.46,0.157,5.48,0.35600000000000004
34,2015,6,»ï¼º,5.86,0.36700000000000005,0.489,0.856,0.4,0.177,6.42,0.377
35,2015,6,µÎ»ê,5.7,0.36700000000000005,0.425,0.792,0.61,0.124,5.63,0.35700000000000004
36,2015,6,NC,5.14,0.35,0.42,0.77,0.57,0.149,5.42,0.345
37,2015,6,KT,5.65,0.353,0.456,0.809,0.44,0.166,6.05,0.358
38,2015,6,SK,4.73,0.335,0.381,0.716,0.4,0.107,4.53,0.326
39,2015,6,·Ôµ¥,3.76,0.31,0.38299999999999995,0.693,0.34,0.141,3.89,0.311
40,2015,7,»ï¼º,7.52,0.387,0.489,0.8759999999999999,0.61,0.16399999999999998,7.12,0.387
41,2015,7,Hero,7.0,0.396,0.5379999999999999,0.934,0.54,0.21100000000000002,7.98,0.406
42,2015,7,µÎ»ê,5.76,0.374,0.455,0.8290000000000001,0.81,0.16,6.07,0.368
43,2015,7,SK,4.37,0.355,0.429,0.784,0.44,0.149,5.01,0.35100000000000003
44,2015,7,·Ôµ¥,5.04,0.353,0.413,0.7659999999999999,0.48,0.136,5.01,0.34299999999999997
45,2015,7,ÇÑÈ­,5.35,0.366,0.366,0.732,0.5,0.091,4.96,0.33899999999999997
46,2015,7,KIA,5.04,0.336,0.439,0.775,0.41,0.172,5.12,0.344
47,2015,7,KT,5.11,0.365,0.44299999999999995,0.8079999999999999,0.48,0.146,5.79,0.361
48,2015,7,NC,5.8,0.35700000000000004,0.461,0.818,0.38,0.168,5.96,0.36200000000000004
49,2015,7,LG,3.84,0.309,0.35700000000000004,0.6659999999999999,0.38,0.113,3.75,0.302
50,2015,8,NC,5.38,0.379,0.44,0.8190000000000001,0.64,0.15,6.03,0.368
51,2015,8,»ï¼º,6.79,0.39299999999999996,0.457,0.85,0.65,0.153,7.03,0.382
