,¿¬µµ,ÆÀ¸í,Å¸À²,°æ±â,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,·çÅ¸,Å¸Á¡,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ
0,2001,µÎ»ê,0.303,61.0,2482.0,2185.0,379.0,661.0,116.0,10.0,61.0,980.0,360.0,10.0,35.0
1,2001,KT,0.297,61.0,2443.0,2167.0,360.0,644.0,108.0,11.0,72.0,990.0,335.0,22.0,21.0
2,2001,NC,0.291,60.0,2407.0,2127.0,386.0,618.0,114.0,10.0,87.0,1013.0,372.0,20.0,21.0
3,2001,LG,0.281,61.0,2391.0,2120.0,331.0,595.0,106.0,10.0,55.0,886.0,316.0,23.0,26.0
4,2001,KIA,0.276,59.0,2275.0,2002.0,303.0,552.0,94.0,3.0,65.0,847.0,293.0,23.0,15.0
5,2001,·Ôµ¥,0.275,59.0,2333.0,2067.0,293.0,568.0,108.0,2.0,51.0,833.0,275.0,16.0,20.0
6,2001,Å°¿ò,0.271,63.0,2495.0,2156.0,354.0,585.0,107.0,16.0,70.0,934.0,330.0,14.0,27.0
7,2001,»ï¼º,0.271,62.0,2368.0,2094.0,325.0,568.0,110.0,5.0,56.0,856.0,307.0,18.0,26.0
8,2001,SK,0.242,62.0,2341.0,2083.0,235.0,505.0,62.0,10.0,53.0,746.0,222.0,23.0,12.0
9,2001,ÇÑÈ­,0.242,62.0,2304.0,2061.0,220.0,498.0,87.0,3.0,35.0,696.0,211.0,16.0,8.0
10,2002,µÎ»ê,0.303,61.0,2482.0,2185.0,379.0,661.0,116.0,10.0,61.0,980.0,360.0,10.0,35.0
11,2002,KT,0.297,61.0,2443.0,2167.0,360.0,644.0,108.0,11.0,72.0,990.0,335.0,22.0,21.0
12,2002,NC,0.291,60.0,2407.0,2127.0,386.0,618.0,114.0,10.0,87.0,1013.0,372.0,20.0,21.0
13,2002,LG,0.281,61.0,2391.0,2120.0,331.0,595.0,106.0,10.0,55.0,886.0,316.0,23.0,26.0
14,2002,KIA,0.276,59.0,2275.0,2002.0,303.0,552.0,94.0,3.0,65.0,847.0,293.0,23.0,15.0
15,2002,·Ôµ¥,0.275,59.0,2333.0,2067.0,293.0,568.0,108.0,2.0,51.0,833.0,275.0,16.0,20.0
16,2002,Å°¿ò,0.271,63.0,2495.0,2156.0,354.0,585.0,107.0,16.0,70.0,934.0,330.0,14.0,27.0
17,2002,»ï¼º,0.271,62.0,2368.0,2094.0,325.0,568.0,110.0,5.0,56.0,856.0,307.0,18.0,26.0
18,2002,SK,0.242,62.0,2341.0,2083.0,235.0,505.0,62.0,10.0,53.0,746.0,222.0,23.0,12.0
