,¿¬µµ,¼øÀ§,ÆÀ¸í,°æ±â,½Â,ÆÐ,¹«,½Â·ü,È¨,¾î¿þÀÌ
0,2001,1,µÎ»ê,133,65,63,5,0.508,33-4-29,32-1-34
1,2001,2,»ï¼º,133,81,52,0,0.609,42-0-24,39-0-28
2,2001,3,Çö´ë,133,72,57,4,0.558,39-1-27,33-3-30
3,2001,4,ÇÑÈ­,133,61,68,4,0.473,27-3-36,34-1-32
4,2001,5,KIA,133,60,68,5,0.469,28-3-36,32-2-32
5,2001,6,LG,133,58,67,8,0.464,33-1-33,25-7-34
6,2001,7,SK,133,60,71,2,0.458,32-1-34,28-1-37
7,2001,8,·Ôµ¥,133,59,70,4,0.457,26-3-37,33-1-33
8,2002,1,»ï¼º,133,82,47,4,0.636,40-2-25,42-2-22
9,2002,2,LG,133,66,61,6,0.520,32-4-30,34-2-31
10,2002,3,KIA,133,78,51,4,0.605,38-4-24,40-0-27
11,2002,4,Çö´ë,133,70,58,5,0.547,36-2-28,34-3-30
12,2002,5,µÎ»ê,133,66,65,2,0.504,32-0-35,34-2-30
13,2002,6,SK,133,61,69,3,0.469,31-2-33,30-1-36
14,2002,7,ÇÑÈ­,133,59,69,5,0.461,31-1-35,28-4-34
15,2002,8,·Ôµ¥,133,35,97,1,0.265,18-0-49,17-1-48
16,2003,1,Çö´ë,133,80,51,2,0.611,40-1-26,40-1-25
17,2003,2,SK,133,66,64,3,0.508,35-2-30,31-1-34
18,2003,3,KIA,133,78,50,5,0.609,44-1-22,34-4-28
19,2003,4,»ï¼º,133,76,53,4,0.589,42-1-23,34-3-30
20,2003,5,ÇÑÈ­,133,63,65,5,0.492,36-3-27,27-2-38
21,2003,6,LG,133,60,71,2,0.458,34-1-32,26-1-39
22,2003,7,µÎ»ê,133,57,74,2,0.435,25-2-39,32-0-35
23,2003,8,·Ôµ¥,133,39,91,3,0.300,20-2-44,19-1-47
24,2004,1,Çö´ë,133,75,53,5,0.586,40-4-22,35-1-31
25,2004,2,»ï¼º,133,73,52,8,0.584,36-3-28,37-5-24
26,2004,3,µÎ»ê,133,70,62,1,0.530,40-0-27,30-1-35
27,2004,4,KIA,133,67,61,5,0.523,34-2-30,33-3-31
28,2004,5,SK,133,61,64,8,0.488,32-5-29,29-3-35
29,2004,6,LG,133,59,70,4,0.457,33-4-29,26-0-41
30,2004,7,ÇÑÈ­,133,53,74,6,0.417,27-3-37,26-3-37
31,2004,8,·Ôµ¥,133,50,72,11,0.410,24-3-40,26-8-32
32,2005,1,»ï¼º,126,74,48,4,0.607,36-3-24,38-1-24
33,2005,2,µÎ»ê,126,72,51,3,0.585,41-0-22,31-3-29
34,2005,3,SK,126,70,50,6,0.583,35-4-24,35-2-26
35,2005,4,ÇÑÈ­,126,64,61,1,0.512,35-1-27,29-0-34
36,2005,5,·Ôµ¥,126,58,67,1,0.464,29-0-34,29-1-33
37,2005,6,LG,126,54,71,1,0.432,33-0-30,21-1-41
38,2005,7,Çö´ë,126,53,70,3,0.431,26-2-35,27-1-35
39,2005,8,KIA,126,49,76,1,0.392,28-0-35,21-1-41
40,2006,1,»ï¼º,126,73,50,3,0.593,39-1-23,34-2-27
41,2006,2,ÇÑÈ­,126,67,57,2,0.540,33-2-28,34-0-29
42,2006,3,Çö´ë,126,70,55,1,0.560,35-1-27,35-0-28
43,2006,4,KIA,126,64,59,3,0.520,33-2-28,31-1-31
44,2006,5,µÎ»ê,126,63,60,3,0.512,34-1-28,29-2-32
