,¿¬µµ,ÆÀ¸í,Æò±ÕÀÚÃ¥Á¡,°æ±â,½Â¸®,ÆÐ¹è,¼¼ÀÌºê,È¦µå,½Â·ü,ÀÌ´×,ÇÇ¾ÈÅ¸,È¨·±,º¼³Ý,»ç±¸,»ïÁø,½ÇÁ¡,ÀÚÃ¥Á¡,ÀÌ´×´çÃâ·çÇã¿ë·ü,¿ÏÅõ,¿ÏºÀ,QS,ºí·Ð,Å¸ÀÚ¼ö,Åõ±¸¼ö,ÇÇ¾ÈÅ¸À²,2·çÅ¸,3·çÅ¸,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,°íÀÇ4±¸,ÆøÅõ,º¸Å©
0,2001,Çö´ë,4.34,133,72,57,39,23,0.558,1183,1250,98,531,54,757,628,570,1.51,6,3,56,0,5218,20097,0.277,219,26,78,37,8,54,1
1,2001,SK,4.38,133,60,71,33,22,0.458,1171,1148,155,508,65,908,640,570,1.41,11,8,61,0,5110,19710,0.259,217,9,76,34,31,54,1
2,2001,»ï¼º,4.39,133,81,52,43,20,0.609,1187,1195,132,561,61,844,644,579,1.48,7,6,51,0,5243,20128,0.265,207,13,76,37,20,38,8
3,2001,·Ôµ¥,4.68,133,59,70,33,28,0.457,1171,1238,128,523,61,790,670,609,1.50,0,3,43,0,5189,19593,0.276,251,22,86,38,23,53,2
4,2001,ÇÑÈ­,4.82,133,61,68,25,33,0.473,1185,1288,142,541,66,813,733,634,1.54,7,5,49,0,5331,20774,0.280,238,26,73,45,44,57,5
5,2001,µÎ»ê,4.96,133,65,63,35,40,0.508,1180,1290,128,546,60,799,733,650,1.56,1,3,27,0,5282,20071,0.284,196,23,85,48,17,47,0
6,2001,KIA,5.01,133,60,68,28,16,0.469,1178,1231,160,499,79,743,727,656,1.47,10,6,35,0,5207,19799,0.272,212,16,71,36,17,51,3
7,2001,LG,5.09,133,58,67,26,27,0.464,1184,1253,127,647,69,765,732,670,1.60,0,3,43,0,5380,21119,0.277,204,23,99,46,43,52,6
8,2002,»ï¼º,3.92,133,82,47,37,22,0.636,1197,1182,148,385,74,987,581,521,1.31,2,8,45,0,5089,19535,0.262,214,22,80,33,16,45,3
9,2002,KIA,3.92,133,78,51,38,30,0.605,1195,1185,151,370,97,862,580,520,1.30,10,7,55,0,5106,19112,0.260,159,12,54,34,14,55,2
10,2002,LG,3.93,133,66,61,32,40,0.520,1190,1119,135,501,100,896,575,520,1.36,2,9,38,0,5145,20432,0.252,185,19,74,26,30,40,5
11,2002,µÎ»ê,3.93,133,66,65,38,43,0.504,1183,1139,99,479,60,954,562,517,1.37,3,6,60,0,5087,19237,0.257,187,23,77,33,30,44,2
12,2002,Çö´ë,4.23,133,70,58,38,36,0.547,1186,1219,142,416,64,890,614,558,1.38,3,6,49,0,5131,19927,0.268,230,10,64,32,12,54,5
13,2002,SK,4.47,133,61,69,25,15,0.469,1179,1150,176,402,78,948,638,586,1.32,5,7,54,0,5074,19578,0.255,209,15,55,23,34,34,3
14,2002,·Ôµ¥,4.72,133,35,97,13,19,0.265,1168,1269,130,443,83,775,710,612,1.47,5,7,49,0,5156,19635,0.281,266,28,70,45,16,40,1
15,2002,ÇÑÈ­,4.79,133,59,69,32,32,0.461,1184,1254,146,392,102,953,672,631,1.39,8,5,54,0,5198,20061,0.272,229,25,62,38,29,42,4
16,2003,KIA,3.62,133,78,50,36,34,0.609,1178,1092,137,414,101,820,527,474,1.28,12,10,65,0,4999,19162,0.250,178,10,88,30,12,42,1
17,2003,LG,3.98,133,60,71,37,51,0.458,1169,1201,120,531,60,794,579,517,1.48,2,10,48,0,5166,20403,0.271,185,23,116,34,27,49,2
18,2003,Çö´ë,4.13,133,80,51,39,43,0.611,1190,1245,120,457,62,840,627,546,1.43,2,4,58,0,5197,20181,0.273,229,17,92,33,6,56,2
19,2003,µÎ»ê,4.24,133,57,74,30,53,0.435,1175,1194,105,464,79,654,619,554,1.41,7,7,52,0,5144,19144,0.268,208,18,105,43,22,37,3
20,2003,»ï¼º,4.37,133,76,53,30,41,0.589,1183,1199,133,494,59,808,613,574,1.43,2,5,45,0,5150,19834,0.268,222,24,95,29,15,46,3
21,2003,ÇÑÈ­,4.37,133,63,65,35,31,0.492,1192,1184,142,437,68,772,617,579,1.36,4,8,54,0,5165,19888,0.261,222,14,82,45,14,53,9
22,2003,SK,4.44,133,66,64,43,48,0.508,1181,1190,135,497,83,759,642,583,1.43,3,10,44,0,5158,19830,0.267,212,21,84,32,19,42,2
23,2003,·Ôµ¥,5.01,133,39,91,22,58,0.300,1164,1302,171,435,93,647,709,648,1.49,3,4,44,0,5173,19413,0.289,259,22,93,40,16,36,3
24,2004,»ï¼º,3.76,133,73,52,42,74,0.584,1196,1092,118,505,85,994,564,500,1.33,4,9,52,0,5138,20237,0.247,181,13,87,34,17,43,6
25,2004,µÎ»ê,3.88,133,70,62,38,47,0.530,1177,1144,95,457,75,799,560,508,1.36,4,12,54,0,5056,19198,0.260,177,15,84,40,18,49,3
26,2004,Çö´ë,4.06,133,75,53,36,32,0.586,1187,1193,123,440,59,842,590,535,1.38,3,8,70,0,5135,20159,0.263,232,16,69,25,0,41,4
27,2004,·Ôµ¥,4.22,133,50,72,29,46,0.410,1190,1216,109,449,76,753,608,558,1.40,4,8,49,0,5160,19578,0.272,220,13,105,53,41,43,3
28,2004,LG,4.31,133,59,70,35,64,0.457,1164,1235,116,543,64,783,637,557,1.53,3,6,46,0,5180,20349,0.277,207,17,76,42,31,55,1
29,2004,SK,4.40,133,61,64,29,49,0.488,1186,1173,116,538,110,891,644,580,1.44,3,6,39,0,5216,20469,0.263,208,13,79,25,18,57,8
30,2004,KIA,4.51,133,67,61,27,24,0.523,1183,1198,119,496,120,773,637,593,1.43,5,9,49,0,5199,19717,0.268,213,22,77,39,13,48,1
