,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
0,2015,03,28,·Ôµ¥,1,42,0.378,0.444,7.1,19.0,0.38,0.298,18.50,1.115,10.51,10.92,10.43,5.63,0.36,0.479,5.04
1,2015,03,28,µÎ»ê,1,43,0.343,0.323,14.0,7.0,2.00,0.228,17.50,1.000,9.57,10.77,8.66,8.53,0.21,0.427,3.13
2,2015,03,28,»ï¼º,1,42,0.342,0.394,9.5,11.9,0.80,0.079,-,0.826,7.53,8.13,6.59,5.59,0.54,0.378,1.20
3,2015,03,28,KIA,1,34,0.267,0.280,8.8,14.7,0.60,0.200,30.00,0.791,4.81,5.41,4.28,7.25,0.36,0.344,-0.09
4,2015,03,28,Hero,1,46,0.200,0.194,13.0,15.2,0.86,0.200,20.00,0.704,5.26,4.30,4.56,3.56,0.36,0.315,-1.35
5,2015,03,28,KT,1,46,0.400,0.462,17.4,17.4,1.00,0.200,17.50,1.111,11.37,12.28,11.72,2.98,0.22,0.486,5.81
6,2015,03,28,NC,1,38,0.290,0.360,10.5,21.0,0.50,0.000,-,0.658,3.58,3.58,3.76,3.33,0.37,0.314,-1.12
7,2015,03,28,LG,1,34,0.241,0.304,11.8,17.6,0.67,0.138,-,0.712,3.32,3.59,3.77,3.14,0.02,0.328,-0.60
8,2015,03,28,ÇÑÈ­,1,54,0.238,0.278,13.0,13.0,1.00,0.048,-,0.639,6.08,4.56,5.05,5.32,0.71,0.309,-1.88
9,2015,03,28,SK,1,36,0.161,0.217,13.9,22.2,0.62,0.097,-,0.536,2.07,1.99,1.77,4.92,0.02,0.260,-2.86
10,2015,03,29,KIA,1,39,0.300,0.240,15.4,5.1,3.00,0.333,10.00,1.065,8.97,10.53,8.86,3.63,0.03,0.456,3.85
11,2015,03,29,ÇÑÈ­,1,41,0.281,0.364,14.6,22.0,0.67,0.157,32.00,0.863,6.02,6.02,7.16,3.25,0.37,0.398,1.89
12,2015,03,29,SK,1,40,0.273,0.286,10.0,12.5,0.80,0.151,33.00,0.766,5.56,5.56,4.87,5.50,0.19,0.340,-0.27
13,2015,03,29,µÎ»ê,1,29,0.241,0.200,0.0,6.9,0.00,0.207,14.50,0.689,2.24,2.52,2.32,0.61,0.01,0.293,-1.41
14,2015,03,29,·Ôµ¥,1,39,0.207,0.211,23.1,20.5,1.12,0.241,14.50,0.858,6.40,7.20,6.56,4.69,0.37,0.391,1.55
15,2015,03,29,LG,1,43,0.385,0.441,7.0,14.0,0.50,0.128,-,0.932,9.04,9.39,8.05,5.54,0.54,0.412,2.53
16,2015,03,29,NC,1,38,0.250,0.257,5.3,2.6,2.00,0.083,-,0.622,3.62,3.62,2.68,2.27,0.02,0.283,-2.20
17,2015,03,29,»ï¼º,1,40,0.235,0.241,12.5,10.0,1.25,0.089,34.00,0.674,4.94,5.13,4.15,4.78,0.54,0.320,-0.99
18,2015,03,29,KT,1,40,0.235,0.286,15.0,15.0,1.00,0.059,-,0.644,3.47,3.34,3.00,1.81,0.19,0.288,-2.14
19,2015,03,29,Hero,1,39,0.212,0.269,10.3,18.0,0.57,0.061,-,0.606,3.52,3.66,3.24,3.48,0.03,0.297,-1.77
20,2015,03,31,»ï¼º,1,43,0.366,0.394,2.3,14.0,0.17,0.268,20.50,1.015,9.06,8.43,9.02,4.60,0.36,0.436,3.49
21,2015,03,31,·Ôµ¥,1,38,0.303,0.450,13.2,31.6,0.42,0.121,33.00,0.819,5.94,6.97,5.48,4.12,0.03,0.364,0.60
22,2015,03,31,LG,1,29,0.231,0.286,10.3,17.2,0.60,0.038,-,0.579,1.88,2.30,1.89,2.37,0.02,0.277,-1.84
