,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸À²,BABIP,º¼³Ý%,»ïÁø%,º¼/»ï,ISO,Å¸¼ö/È¨·±,OPS,RC,RC/27,wRC,SPD,wSB,wOBA,wRAA
0,2015,3,28,·Ôµ¥,1,42,0.37799999999999995,0.444,7.1,19.0,0.38,0.298,18.50,1.115,10.51,10.92,10.43,5.63,0.36,0.479,5.04
1,2015,3,28,µÎ»ê,1,43,0.34299999999999997,0.32299999999999995,14.0,7.0,2.00,0.228,17.50,1.0,9.57,10.77,8.66,8.53,0.21,0.42700000000000005,3.13
2,2015,3,28,»ï¼º,1,42,0.342,0.39399999999999996,9.5,11.9,0.80,0.079,-,0.826,7.53,8.13,6.59,5.59,0.54,0.37799999999999995,1.2
3,2015,3,28,KIA,1,34,0.267,0.28,8.8,14.7,0.60,0.2,30.00,0.7909999999999999,4.81,5.41,4.28,7.25,0.36,0.344,-0.09
4,2015,3,28,Hero,1,46,0.2,0.19399999999999998,13.0,15.2,0.86,0.2,20.00,0.7040000000000001,5.26,4.3,4.56,3.56,0.36,0.315,-1.35
5,2015,3,28,KT,1,46,0.4,0.462,17.4,17.4,1.00,0.2,17.50,1.111,11.37,12.28,11.72,2.98,0.22,0.486,5.81
6,2015,3,28,NC,1,38,0.29,0.36,10.5,21.0,0.50,0.0,-,0.6579999999999999,3.58,3.58,3.76,3.33,0.37,0.314,-1.12
7,2015,3,28,LG,1,34,0.24100000000000002,0.304,11.8,17.6,0.67,0.138,-,0.7120000000000001,3.32,3.59,3.77,3.14,0.02,0.32799999999999996,-0.6
8,2015,3,28,ÇÑÈ­,1,54,0.23800000000000002,0.278,13.0,13.0,1.00,0.048,-,0.639,6.08,4.56,5.05,5.32,0.71,0.309,-1.88
9,2015,3,28,SK,1,36,0.161,0.217,13.9,22.2,0.62,0.09699999999999999,-,0.536,2.07,1.99,1.77,4.92,0.02,0.26,-2.86
