,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,Å¸¼®,Å¸¼ö,¾ÈÅ¸,´ÜÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,µæÁ¡,Å¸Á¡,º¼³Ý,°íÀÇ4±¸,»ç±¸,»ïÁø,Èñ»ýÇÃ¶óÀÌ,Èñ»ýÅ¸,º´»ì,µµ·ç,µµ½Ç,Å¸À²
0,2015,3,28,·Ôµ¥,1,42,37,14,7,5,0,2,12,12,3,0,1,8,0,1,1,2,0,0.37799999999999995
1,2015,3,28,KT,1,46,35,14,11,1,0,2,9,8,8,0,1,8,1,2,1,1,0,0.4
2,2015,3,28,NC,1,38,31,9,9,0,0,0,4,4,4,0,1,8,2,2,1,2,0,0.29
3,2015,3,28,ÇÑÈ­,1,54,42,10,8,2,0,0,4,4,7,0,1,7,1,4,0,4,0,0.23800000000000002
4,2015,3,28,µÎ»ê,1,43,35,12,9,0,1,2,9,9,6,1,0,3,1,1,0,1,0,0.34299999999999997
5,2015,3,28,»ï¼º,1,42,38,13,10,3,0,0,6,6,4,0,0,5,0,0,0,3,0,0.342
6,2015,3,28,KIA,1,34,30,8,5,1,1,1,3,3,3,0,0,5,1,1,1,2,0,0.267
7,2015,3,28,Hero,1,46,40,8,4,2,0,2,5,5,6,0,0,7,0,0,1,2,0,0.2
8,2015,3,28,LG,1,34,29,7,4,2,1,0,1,1,4,0,0,6,0,1,2,0,0,0.24100000000000002
9,2015,3,28,SK,1,36,31,5,3,1,1,0,1,1,5,0,0,8,0,0,1,0,0,0.161
10,2015,3,29,ÇÑÈ­,1,41,32,9,6,2,0,1,5,5,6,0,2,9,0,1,1,2,0,0.281
11,2015,3,29,Hero,1,39,33,7,5,2,0,0,3,3,4,0,2,7,0,0,0,0,0,0.212
12,2015,3,29,KIA,1,39,30,9,5,1,0,3,7,7,6,0,1,2,0,2,0,0,0,0.3
13,2015,3,29,·Ôµ¥,1,39,29,6,3,1,0,2,5,4,9,0,1,8,0,0,0,2,0,0.207
14,2015,3,29,»ï¼º,1,40,34,8,7,0,0,1,3,3,5,0,1,4,0,0,0,3,0,0.235
15,2015,3,29,SK,1,40,33,9,6,2,0,1,7,7,4,0,0,5,1,3,0,1,0,0.273
16,2015,3,29,µÎ»ê,1,29,29,7,5,0,0,2,4,4,0,0,0,2,0,0,2,0,0,0.24100000000000002
17,2015,3,29,LG,1,43,39,15,10,5,0,0,6,6,3,0,0,6,1,1,0,3,0,0.385
18,2015,3,29,NC,1,38,36,9,6,3,0,0,1,1,2,0,0,1,0,0,0,0,0,0.25
19,2015,3,29,KT,1,40,34,8,6,2,0,0,4,4,6,2,0,6,0,0,2,1,0,0.235
20,2015,3,31,KT,1,39,33,7,3,4,0,0,6,6,5,0,1,8,0,0,0,0,0,0.212
21,2015,3,31,»ï¼º,1,43,41,15,8,5,0,2,8,8,1,0,0,6,0,1,1,2,0,0.366
22,2015,3,31,·Ôµ¥,1,38,33,10,8,1,0,1,7,7,5,1,0,12,0,0,0,0,0,0.303
23,2015,3,31,LG,1,29,26,6,5,1,0,0,1,1,3,0,0,5,0,0,0,0,0,0.231
24,2015,4,1,NC,1,45,41,18,12,3,0,3,10,9,1,0,1,6,1,2,0,1,0,0.439
25,2015,4,1,Hero,1,34,31,6,5,1,0,0,3,3,1,0,1,6,1,1,4,0,0,0.19399999999999998
26,2015,4,1,»ï¼º,1,37,32,9,6,1,1,1,5,5,4,0,0,4,0,1,1,1,0,0.281
27,2015,4,1,LG,1,43,33,9,8,1,0,0,3,3,8,1,0,8,1,2,1,0,0,0.273
28,2015,4,1,µÎ»ê,1,44,33,8,3,3,0,2,6,5,10,0,0,6,1,1,1,1,0,0.242
29,2015,4,1,KIA,1,37,32,5,4,1,0,0,3,2,5,0,0,12,0,0,0,0,0,0.156
30,2015,4,1,KT,1,39,38,10,8,2,0,0,1,1,1,0,0,15,0,0,0,1,0,0.263
31,2015,4,1,ÇÑÈ­,1,36,33,7,7,0,0,0,3,2,2,0,0,9,1,1,0,0,0,0.212
32,2015,4,1,·Ôµ¥,1,41,38,8,5,1,1,1,2,2,3,0,0,9,0,0,1,1,0,0.21100000000000002
33,2015,4,1,SK,1,31,28,4,4,0,0,0,0,0,3,0,0,10,0,0,1,0,0,0.14300000000000002
34,2015,4,2,µÎ»ê,1,35,32,5,5,0,0,0,2,2,2,0,1,10,0,0,1,0,0,0.156
35,2015,4,2,ÇÑÈ­,1,40,28,7,6,1,0,0,4,4,11,0,0,11,0,1,1,0,0,0.25
