,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
0,2015,03,28,KIA,1,1,0,0,6.00,4.00,0.00,1.50,0.241,0.333,0.379,0.713,1.22,0.304,90.9,1.00,0.61,3.67,3.78,0.18
1,2015,03,28,»ï¼º,1,1,0,0,8.00,5.00,0.00,1.60,0.161,0.278,0.258,0.536,1.11,0.217,90.0,1.00,0.58,3.56,3.51,0.18
2,2015,03,28,Hero,1,0,0,0,5.25,5.25,0.00,1.00,0.238,0.353,0.286,0.639,1.42,0.278,77.8,3.00,0.63,4.50,4.81,0.14
3,2015,03,28,µÎ»ê,1,0,0,0,8.00,4.00,0.00,2.00,0.290,0.368,0.290,0.659,1.44,0.360,71.4,4.00,0.20,3.56,3.52,0.27
4,2015,03,28,·Ôµ¥,1,0,0,0,8.00,8.00,2.00,1.00,0.400,0.511,0.600,1.111,2.44,0.462,69.3,9.00,-0.03,7.78,7.96,0.01
5,2015,03,28,LG,1,1,0,0,5.62,3.38,1.12,1.67,0.267,0.324,0.467,0.790,1.38,0.280,83.3,3.38,0.23,5.17,5.30,0.05
6,2015,03,28,ÇÑÈ­,1,1,0,0,5.56,4.76,1.59,1.17,0.200,0.304,0.400,0.704,1.24,0.194,80.4,3.97,0.57,6.32,6.53,0.09
7,2015,03,28,NC,1,0,0,0,3.38,6.75,2.25,0.50,0.343,0.429,0.571,1.000,2.25,0.323,59.2,6.75,-0.10,8.05,8.54,-0.21
8,2015,03,28,SK,1,0,0,0,5.62,4.50,0.00,1.25,0.342,0.405,0.421,0.826,2.12,0.394,64.7,6.75,-0.05,3.92,4.10,0.15
9,2015,03,28,KT,1,0,0,0,9.00,3.38,2.25,2.67,0.378,0.439,0.676,1.115,2.12,0.444,39.5,12.38,-0.35,6.42,6.26,0.06
10,2015,03,29,µÎ»ê,1,1,0,0,1.00,2.00,0.00,0.50,0.250,0.289,0.333,0.623,1.22,0.257,90.9,1.00,0.57,4.12,4.67,0.12
11,2015,03,29,ÇÑÈ­,1,0,0,0,7.00,4.00,0.00,1.75,0.212,0.333,0.273,0.606,1.22,0.269,76.9,3.00,0.51,4.12,4.24,0.13
12,2015,03,29,SK,1,0,0,0,4.00,5.00,1.00,0.80,0.235,0.350,0.324,0.674,1.44,0.241,87.3,3.00,0.33,6.23,6.68,-0.05
13,2015,03,29,·Ôµ¥,1,1,0,0,6.00,6.00,0.00,1.00,0.235,0.350,0.294,0.644,1.56,0.286,71.4,4.00,0.36,3.67,3.78,0.26
14,2015,03,29,KIA,1,0,0,0,6.00,3.00,0.00,2.00,0.385,0.419,0.513,0.931,2.00,0.441,66.7,6.00,0.35,3.34,3.40,0.22
15,2015,03,29,NC,1,1,0,0,2.25,0.00,2.25,-,0.241,0.241,0.448,0.690,0.88,0.200,71.4,4.50,0.17,6.42,6.75,0.00
16,2015,03,29,Hero,1,0,0,0,9.00,6.00,1.00,1.50,0.281,0.425,0.438,0.862,1.67,0.364,76.9,5.00,0.18,5.78,5.80,0.02
