,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,ÆÀ½Â,ÆÀ¹«,ÆÀÆÐ,RA/G,½ÇÁ¡,ÀÚÃ¥,ÇÇÈ¨·±,º¼³Ý%,»ïÁø%,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
0,2015,3,28,»ï¼º,1,0,0,1.0,1,1,0,13.9,22.2,0.217,90.0,1.0,0.58,3.56,3.5,0.18
1,2015,3,28,KIA,1,0,0,1.0,1,1,0,11.8,17.6,0.304,90.9,1.0,0.61,3.67,3.78,0.18
2,2015,3,28,Hero,1,0,0,4.0,4,4,0,13.0,13.0,0.278,77.8,3.0,0.63,4.5,4.81,0.14
3,2015,3,28,µÎ»ê,1,0,0,4.0,4,4,0,10.5,21.1,0.36,71.4,4.0,0.2,3.56,3.52,0.27
4,2015,3,28,·Ôµ¥,1,0,0,9.0,9,9,2,17.4,17.4,0.462,69.3,9.0,-0.03,7.78,7.95,0.01
5,2015,3,28,LG,0,0,1,3.0,3,3,1,8.8,14.7,0.28,83.3,3.38,0.23,5.17,5.3,0.05
6,2015,3,28,ÇÑÈ­,0,0,1,5.0,5,5,2,13.0,15.2,0.19399999999999998,80.4,3.97,0.57,6.32,6.52,0.09
7,2015,3,28,SK,0,0,1,6.0,6,6,0,9.5,11.9,0.39399999999999996,64.7,6.75,-0.05,3.92,4.1,0.15
8,2015,3,28,NC,0,0,1,9.0,9,6,2,14.0,7.0,0.32299999999999995,59.2,6.75,-0.1,8.04,8.54,-0.21
9,2015,3,28,KT,0,0,1,12.0,12,11,2,7.1,19.0,0.444,39.5,12.38,-0.35,6.42,6.25,0.06
10,2015,3,29,µÎ»ê,1,0,0,1.0,1,1,0,5.3,2.6,0.257,90.9,1.0,0.57,4.11,4.67,0.12
11,2015,3,29,ÇÑÈ­,1,0,0,3.0,3,3,0,10.3,17.9,0.26899999999999996,76.9,3.0,0.51,4.11,4.24,0.13
12,2015,3,29,SK,1,0,0,3.0,3,3,1,12.5,10.0,0.24100000000000002,87.3,3.0,0.33,6.23,6.68,-0.05
13,2015,3,29,·Ôµ¥,1,0,0,4.0,4,4,0,15.0,15.0,0.28600000000000003,71.4,4.0,0.36,3.67,3.78,0.26
14,2015,3,29,KIA,1,0,0,6.0,6,6,0,7.0,14.0,0.441,66.7,6.0,0.35,3.34,3.4,0.22
15,2015,3,29,NC,0,0,1,4.0,4,4,2,0.0,6.9,0.2,71.4,4.5,0.17,6.42,6.75,0.0
16,2015,3,29,Hero,0,0,1,5.0,5,5,1,14.6,22.0,0.364,76.9,5.0,0.18,5.78,5.8,0.02
17,2015,3,29,KT,0,0,1,5.0,5,5,2,23.1,20.5,0.21100000000000002,83.3,5.62,0.03,8.67,8.85,-0.21
18,2015,3,29,»ï¼º,0,0,1,7.0,7,7,1,10.0,12.5,0.28600000000000003,51.7,7.0,-0.06,5.34,5.56,0.02
19,2015,3,29,LG,0,0,1,7.0,7,7,3,15.4,5.1,0.24,76.3,7.88,0.15,10.67,11.42,-0.3
