,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,½Â,ÆÐ,¼¼ÀÌºê,È¦µå,ºí·Ð,QS,ÀÌ´×,Å¸ÀÚ,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,½ÇÁ¡,ÀÚÃ¥,»ïÁø,º¼³Ý,°íÀÇ4±¸,»ç±¸,ÆøÅõ,º¸Å©,PK,µµ·ç,µµ½Ç
0,2015,03,28,»ï¼º,1,1,0,0,1,0,1,9.0,36,5,1,1,0,1,1,8,5,0,0,0,0,0,0,1
1,2015,03,28,KIA,1,1,0,1,0,0,1,9.0,34,7,2,1,0,1,1,6,4,0,0,1,0,0,0,0
2,2015,03,28,Hero,1,1,0,0,0,0,0,12.0,54,10,2,0,0,4,4,7,7,0,1,0,0,0,4,0
3,2015,03,28,µÎ»ê,1,1,0,0,2,0,0,9.0,38,9,0,0,0,4,4,8,4,0,1,0,1,0,2,2
4,2015,03,28,·Ôµ¥,1,1,0,0,2,0,0,9.0,46,14,1,0,2,9,9,8,8,0,1,0,0,0,1,1
5,2015,03,28,LG,1,0,1,0,0,0,1,8.0,34,8,1,1,1,3,3,5,3,0,0,0,0,0,2,0
6,2015,03,28,ÇÑÈ­,1,0,1,0,0,1,1,11.1,46,8,2,0,2,5,5,7,6,0,0,1,0,1,2,0
7,2015,03,28,SK,1,0,1,0,0,0,0,8.0,42,13,3,0,0,6,6,5,4,0,0,1,0,0,3,0
8,2015,03,28,NC,1,0,1,0,0,0,0,8.0,43,12,0,1,2,9,6,3,6,1,0,1,0,0,1,0
9,2015,03,28,KT,1,0,1,0,0,0,0,8.0,42,14,5,0,2,12,11,8,3,0,1,1,0,0,2,1
10,2015,03,29,µÎ»ê,1,1,0,1,1,0,1,9.0,38,9,3,0,0,1,1,1,2,0,0,0,0,0,0,0
11,2015,03,29,ÇÑÈ­,1,1,0,1,2,0,0,9.0,39,7,2,0,0,3,3,7,4,0,2,0,0,1,0,0
12,2015,03,29,SK,1,1,0,1,1,0,0,9.0,40,8,0,0,1,3,3,4,5,0,1,1,0,0,3,0
13,2015,03,29,·Ôµ¥,1,1,0,1,3,0,1,9.0,40,8,2,0,0,4,4,6,6,2,0,0,0,0,1,0
14,2015,03,29,KIA,1,1,0,0,1,0,0,9.0,43,15,5,0,0,6,6,6,3,0,0,0,0,0,3,1
15,2015,03,29,NC,1,0,1,0,0,0,1,8.0,29,7,0,0,2,4,4,2,0,0,0,1,0,0,0,0
