,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
7,2015,윤석민,키움,3루수,72,64,560.3333333333334,11,0,49,110,17,0.935,0,0,0,0.0,0.294,418,361,54,106,24,1,14,174,71,5,7
9,2015,김민성,키움,3루수,69,62,547.6666666666666,4,0,57,111,11,0.977,0,0,0,0.0,0.303,489,445,60,135,24,0,16,207,71,2,3
12,2015,김지수,키움,3루수,22,5,72.66666666666667,0,0,1,15,3,1.0,0,0,0,0.0,0.235,151,132,23,31,7,0,0,38,13,7,1
24,2015,서동욱,키움,3루수,3,1,10.0,0,0,0,0,0,0.0,0,0,0,0.0,0.233,118,103,14,24,5,0,3,38,15,1,0
32,2015,장시윤,키움,3루수,12,10,64.33333333333333,1,0,3,17,1,0.9520000000000001,0,0,0,0.0,0.276,31,29,2,8,0,0,0,8,2,2,0
37,2015,장영석,키움,3루수,6,1,22.0,1,0,1,9,1,0.909,0,0,0,0.0,0.125,8,8,0,1,0,0,0,1,0,0,0
48,2015,허경민,두산,3루수,95,79,711.3333333333335,9,0,61,176,18,0.963,0,0,0,0.0,0.317,453,404,64,128,20,2,1,155,41,8,3
53,2015,최주환,두산,3루수,53,33,308.0,5,0,28,55,4,0.943,0,0,0,0.0,0.282,270,238,34,67,16,2,5,102,32,3,1
59,2015,로메로,두산,3루수,27,23,178.33333333333337,4,0,16,47,5,0.94,0,0,0,0.0,0.253,305,265,30,67,16,0,12,119,50,0,7
68,2015,양종민,두산,3루수,11,0,23.0,1,0,1,5,0,0.857,0,0,0,0.0,0.125,18,16,6,2,0,0,1,5,2,0,0
75,2015,김진형,두산,3루수,4,3,20.0,0,0,1,6,1,1.0,0,0,0,0.0,0.16699999999999998,21,18,3,3,2,0,1,8,2,0,0
76,2015,루츠,두산,3루수,6,6,43.33333333333334,1,0,2,6,0,0.889,0,0,0,0.0,0.111,30,27,2,3,0,0,1,6,3,0,1
78,2015,황재균,롯데,3루수,135,128,1118.3333333333333,16,0,62,253,25,0.9520000000000001,0,0,0,0.0,0.29,596,534,95,155,41,2,26,278,97,4,6
93,2015,오승택,롯데,3루수,24,14,125.0,0,0,14,24,4,1.0,0,0,0,0.0,0.275,353,327,57,90,18,1,8,134,43,4,1
105,2015,손용석,롯데,3루수,8,2,29.0,1,0,4,4,0,0.889,0,0,0,0.0,0.217,74,69,4,15,2,0,0,17,2,4,0
119,2015,박석민,삼성,3루수,129,129,1066.6666666666667,14,0,63,206,16,0.951,0,0,0,0.0,0.321,559,448,90,144,25,0,26,247,116,1,8
