,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
0,2015,김하성,키움,유격수,140,139,1209.3333333333333,21,0,212,408,87,0.9670000000000001,0,0,0,0.0,0.29,582,511,89,148,35,5,19,250,73,4,6
13,2015,김지수,키움,유격수,16,2,53.66666666666666,1,0,7,23,3,0.968,0,0,0,0.0,0.235,151,132,23,31,7,0,0,38,13,7,1
33,2015,장시윤,키움,유격수,3,2,19.0,1,0,4,7,0,0.917,0,0,0,0.0,0.276,31,29,2,8,0,0,0,8,2,2,0
40,2015,김재호,두산,유격수,133,128,1112.6666666666667,16,0,187,352,73,0.971,0,0,0,0.0,0.307,488,410,63,126,24,3,3,165,50,14,7
49,2015,허경민,두산,유격수,29,16,156.0,3,0,28,54,12,0.965,0,0,0,0.0,0.317,453,404,64,128,20,2,1,155,41,8,3
70,2015,양종민,두산,유격수,5,0,6.666666666666668,0,0,0,2,1,1.0,0,0,0,0.0,0.125,18,16,6,2,0,0,1,5,2,0,0
72,2015,류지혁,두산,유격수,7,0,10.666666666666666,0,0,3,4,1,1.0,0,0,0,0.0,0.2,5,5,3,1,0,0,0,1,0,0,0
82,2015,문규현,롯데,유격수,105,86,739.6666666666665,11,0,124,276,49,0.973,0,0,0,0.0,0.245,298,265,24,65,12,1,2,85,25,15,3
91,2015,오승택,롯데,유격수,62,42,340.3333333333333,11,0,41,119,22,0.9359999999999999,0,0,0,0.0,0.275,353,327,57,90,18,1,8,134,43,4,1
95,2015,김대륙,롯데,유격수,53,15,194.33333333333331,3,0,27,74,12,0.971,0,0,0,0.0,0.14800000000000002,63,54,6,8,0,0,0,8,1,2,0
120,2015,김상수,삼성,유격수,128,128,1092.0,18,0,175,323,62,0.965,0,0,0,0.0,0.278,518,449,67,125,30,4,8,187,63,13,7
123,2015,나바로,삼성,유격수,16,13,113.0,0,0,17,33,3,1.0,0,0,0,0.0,0.287,643,534,126,153,19,1,48,318,137,1,9
140,2015,김재현,삼성,유격수,29,3,68.33333333333333,0,0,9,19,5,1.0,0,0,0,0.0,0.171,48,41,7,7,0,0,0,7,5,2,0
