,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
4,2015,유한준,키움,중견수,70,61,530.0,0,0,122,4,0,1.0,0,0,0,0.0,0.36200000000000004,598,520,103,188,42,1,23,301,116,1,8
5,2015,이택근,키움,중견수,81,72,621.6666666666666,0,0,128,3,0,1.0,0,0,0,0.0,0.326,401,347,61,113,16,1,10,161,44,3,4
17,2015,스나이더,키움,중견수,4,1,12.0,0,0,4,0,0,1.0,0,0,0,0.0,0.281,487,431,88,121,26,1,26,227,71,3,5
21,2015,박헌도,키움,중견수,3,1,11.0,0,0,2,0,0,1.0,0,0,0,0.0,0.248,267,218,31,54,13,0,8,91,42,3,2
27,2015,문우람,키움,중견수,10,5,55.33333333333334,1,0,7,0,0,0.875,0,0,0,0.0,0.235,138,119,22,28,10,0,2,44,22,1,3
30,2015,유재신,키움,중견수,13,4,40.0,0,0,10,0,0,1.0,0,0,0,0.0,0.259,32,27,21,7,2,0,0,9,3,2,0
36,2015,임병욱,키움,중견수,3,0,8.0,0,0,2,0,0,1.0,0,0,0,0.0,0.18600000000000003,52,43,13,8,1,1,1,14,3,0,0
42,2015,정수빈,두산,중견수,128,122,1090.6666666666667,2,0,255,4,2,0.992,0,0,0,0.0,0.295,570,491,79,145,27,7,2,192,59,19,6
46,2015,민병헌,두산,중견수,13,12,94.33333333333331,1,0,24,2,0,0.963,0,0,0,0.0,0.303,561,491,80,149,20,2,12,209,75,6,6
62,2015,박건우,두산,중견수,15,9,77.0,1,0,24,1,0,0.9620000000000001,0,0,0,0.0,0.342,175,158,31,54,12,0,5,81,26,2,0
66,2015,장민석,두산,중견수,11,1,24.0,0,0,2,0,0,1.0,0,0,0,0.0,0.18899999999999997,63,53,15,10,2,0,0,12,4,1,1
85,2015,아두치,롯데,중견수,81,72,564.6666666666666,2,0,133,3,1,0.986,0,0,0,0.0,0.314,594,526,105,165,34,5,28,293,106,1,4
89,2015,이우민,롯데,중견수,65,37,381.0,0,0,97,1,1,1.0,0,0,0,0.0,0.22699999999999998,174,141,18,32,4,0,4,48,18,17,0
97,2015,김민하,롯데,중견수,49,31,302.3333333333333,1,0,63,2,0,0.985,0,0,0,0.0,0.24100000000000002,141,116,18,28,6,0,1,37,8,3,0
111,2015,오현근,롯데,중견수,3,2,17.0,0,0,5,0,0,1.0,0,0,0,0.0,0.214,36,28,3,6,2,0,0,8,3,2,0
115,2015,김재유,롯데,중견수,3,2,12.0,0,0,4,0,0,1.0,0,0,0,0.0,0.111,10,9,3,1,0,0,0,1,1,0,0
116,2015,박해민,삼성,중견수,138,129,1104.6666666666667,3,0,309,5,1,0.991,0,0,0,0.0,0.293,608,525,96,154,22,7,0,190,47,23,2
128,2015,구자욱,삼성,중견수,12,8,53.66666666666666,0,0,20,1,0,1.0,0,0,0,0.0,0.349,465,410,97,143,33,5,11,219,57,0,4
133,2015,박찬도,삼성,중견수,28,6,101.0,0,0,25,0,0,1.0,0,0,0,0.0,0.213,106,89,32,19,2,1,0,23,9,5,0
143,2015,이영욱,삼성,중견수,3,1,12.0,0,0,3,0,0,1.0,0,0,0,0.0,0.22699999999999998,26,22,8,5,2,0,0,7,2,0,0
156,2015,정근우,한화,중견수,10,3,27.66666666666667,0,0,6,1,0,1.0,0,0,0,0.0,0.316,552,468,99,148,30,2,12,218,66,13,2
157,2015,이용규,한화,중견수,114,111,963.6666666666665,3,0,256,5,1,0.9890000000000001,0,0,0,0.0,0.341,585,493,94,168,15,7,4,209,42,11,4
177,2015,송주호,한화,중견수,16,3,48.33333333333334,0,0,11,0,0,1.0,0,0,0,0.0,0.2,156,140,18,28,6,0,1,37,9,8,0
185,2015,장운호,한화,중견수,15,13,106.33333333333331,0,0,23,0,0,1.0,0,0,0,0.0,0.254,141,114,17,29,4,0,2,39,8,11,0
190,2015,모건,한화,중견수,10,9,82.33333333333333,0,0,20,0,0,1.0,0,0,0,0.0,0.273,42,33,2,9,2,0,0,11,5,0,1
201,2015,김호령,KIA,중견수,103,76,691.0,2,0,216,7,2,0.991,0,0,0,0.0,0.218,283,257,31,56,10,2,1,73,21,6,0
214,2015,김원섭,KIA,중견수,44,36,257.0,0,0,79,1,0,1.0,0,0,0,0.0,0.267,341,277,45,74,13,3,5,108,33,6,2
220,2015,김다원,KIA,중견수,22,11,93.0,0,0,18,2,0,1.0,0,0,0,0.0,0.245,274,245,31,60,9,0,5,84,30,0,2
224,2015,박준태,KIA,중견수,28,11,102.66666666666669,1,0,24,0,0,0.96,0,0,0,0.0,0.16699999999999998,88,66,15,11,2,1,0,15,4,3,0
227,2015,이호신,KIA,중견수,24,6,86.66666666666669,0,0,22,0,0,1.0,0,0,0,0.0,0.14,62,50,9,7,1,0,0,8,3,3,1
243,2015,이대형,KT,중견수,131,126,981.6666666666665,2,0,213,3,1,0.991,0,0,0,0.0,0.302,616,546,86,165,23,3,0,194,37,10,1
256,2015,배병옥,KT,중견수,58,9,175.66666666666663,0,0,44,6,2,1.0,0,0,0,0.0,0.092,68,65,8,6,1,0,1,10,2,1,0
259,2015,하준호,KT,중견수,9,5,57.66666666666666,2,0,12,2,0,0.875,0,0,0,0.0,0.258,279,248,33,64,10,0,6,92,26,2,1
267,2015,김진곤,KT,중견수,11,1,28.0,0,0,7,0,0,1.0,0,0,0,0.0,0.212,87,85,11,18,1,0,0,19,6,1,0
294,2015,박용택,LG,중견수,43,41,336.6666666666667,1,0,56,2,0,0.983,0,0,0,0.0,0.326,533,487,66,159,28,2,18,245,83,1,7
300,2015,채은성,LG,중견수,12,4,45.33333333333334,0,0,8,0,0,1.0,0,0,0,0.0,0.249,198,173,25,43,11,2,4,70,20,3,3
302,2015,임훈,LG,중견수,53,43,328.0,2,0,79,3,2,0.976,0,0,0,0.0,0.278,296,252,44,70,12,1,1,87,24,7,2
305,2015,안익훈,LG,중견수,45,10,178.33333333333337,1,0,47,0,0,0.9790000000000001,0,0,0,0.0,0.33899999999999997,74,62,9,21,2,1,0,25,3,3,0
307,2015,문선재,LG,중견수,39,30,220.33333333333331,1,0,37,4,1,0.976,0,0,0,0.0,0.226,245,212,27,48,13,1,5,78,27,6,1
310,2015,김용의,LG,중견수,26,16,148.0,1,0,37,1,0,0.9740000000000001,0,0,0,0.0,0.251,199,171,30,43,5,1,0,50,15,3,0
312,2015,이민재,LG,중견수,22,4,76.0,0,0,13,0,0,1.0,0,0,0,0.0,0.267,34,30,6,8,1,0,0,9,4,1,1
325,2015,나성범,NC,중견수,1,0,9.0,0,0,3,1,0,1.0,0,0,0,0.0,0.326,622,564,112,184,34,5,28,312,135,3,8
329,2015,이종욱,NC,중견수,124,120,1006.0,1,0,227,6,1,0.996,0,0,0,0.0,0.268,504,440,63,118,25,2,5,162,52,4,3
336,2015,김성욱,NC,중견수,16,7,74.33333333333333,0,0,22,1,0,1.0,0,0,0,0.0,0.258,204,182,32,47,8,1,3,66,26,0,1
344,2015,최재원,NC,중견수,39,8,108.66666666666669,0,0,24,1,0,1.0,0,0,0,0.0,0.247,102,85,31,21,8,0,2,35,13,1,0
350,2015,김준완,NC,중견수,18,8,81.0,1,0,27,1,0,0.966,0,0,0,0.0,0.22699999999999998,54,44,12,10,0,0,0,10,2,0,0
362,2015,김강민,SK,중견수,91,78,692.0,1,0,186,6,2,0.995,0,0,0,0.0,0.24600000000000002,328,293,43,72,17,0,4,101,31,4,1
374,2015,조동화,SK,중견수,59,41,348.33333333333326,0,0,68,3,1,1.0,0,0,0,0.0,0.261,304,245,38,64,6,1,2,78,15,22,2
379,2015,박재상,SK,중견수,27,20,155.33333333333334,1,0,30,0,0,0.968,0,0,0,0.0,0.248,292,250,34,62,12,2,7,99,37,6,1
392,2015,김재현,SK,중견수,13,0,23.0,0,0,6,0,0,1.0,0,0,0,0.0,0.105,20,19,13,2,0,1,0,4,0,0,0
403,2016,고종욱,키움,중견수,19,17,101.0,0,0,32,0,0,1.0,0,0,0,0.0,0.33399999999999996,566,527,92,176,22,9,8,240,72,1,5
404,2016,임병욱,키움,중견수,101,71,638.6666666666666,3,0,207,6,2,0.986,0,0,0,0.0,0.249,265,233,43,58,11,1,8,95,24,6,0
412,2016,박정음,키움,중견수,49,40,315.0,1,0,90,1,0,0.9890000000000001,0,0,0,0.0,0.309,263,223,45,69,5,3,4,92,26,5,2
415,2016,유재신,키움,중견수,47,10,159.33333333333334,1,0,42,2,0,0.978,0,0,0,0.0,0.258,74,62,20,16,0,0,0,16,6,2,0
