,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
2,2015,박동원,키움,포수,126,122,1012.0,10,6,858,96,10,0.99,9,75,32,29.9,0.266,443,379,47,101,12,1,14,157,61,10,8
18,2015,김재현,키움,포수,58,15,204.66666666666663,2,1,153,15,1,0.988,1,21,7,25.0,0.262,71,65,7,17,3,0,1,23,6,2,1
28,2015,유선정,키움,포수,17,7,69.33333333333333,1,0,68,3,1,0.986,0,15,2,11.8,0.24,27,25,1,6,0,0,0,6,2,0,0
41,2015,양의지,두산,포수,129,123,1003.6666666666665,6,3,860,76,8,0.9940000000000001,4,93,33,26.2,0.326,513,442,70,144,27,0,20,231,93,2,6
51,2015,최재훈,두산,포수,69,21,281.6666666666667,1,0,232,19,2,0.996,2,16,8,33.3,0.152,114,99,6,15,3,0,0,18,7,3,1
81,2015,강민호,롯데,포수,110,109,859.3333333333335,8,4,697,67,10,0.99,6,70,28,28.6,0.311,456,380,63,118,18,1,35,243,86,0,2
86,2015,안중열,롯데,포수,79,30,358.66666666666674,5,0,290,35,5,0.985,7,36,14,28.0,0.24,137,125,16,30,10,0,1,43,14,4,1
99,2015,김준태,롯데,포수,24,6,87.33333333333331,0,0,67,5,1,1.0,2,6,0,0.0,0.154,31,26,0,4,0,0,0,4,0,1,0
124,2015,이지영,삼성,포수,118,101,844.6666666666665,7,0,803,58,8,0.992,4,44,29,39.7,0.305,400,361,36,110,10,1,1,125,55,16,5
135,2015,이흥련,삼성,포수,68,28,274.6666666666667,1,1,277,16,1,0.997,1,20,5,20.0,0.23800000000000002,108,105,16,25,7,0,1,35,17,1,0
138,2015,진갑용,삼성,포수,32,14,143.0,0,0,144,4,0,1.0,3,16,2,11.1,0.324,73,68,8,22,2,0,3,33,10,0,1
150,2015,이정식,삼성,포수,5,1,13.0,0,0,16,1,0,1.0,0,0,0,0.0,0.4,5,5,0,2,0,0,0,2,0,0,0
159,2015,조인성,한화,포수,105,85,713.3333333333335,6,1,493,65,11,0.9890000000000001,6,82,34,29.3,0.23199999999999998,310,276,33,64,11,0,11,108,44,11,1
171,2015,허도환,한화,포수,58,25,249.33333333333331,3,0,205,21,2,0.987,3,40,9,18.4,0.17600000000000002,106,91,8,16,7,0,1,26,6,3,0
180,2015,정범모,한화,포수,49,32,260.3333333333333,5,1,201,18,2,0.978,3,37,7,15.9,0.135,114,96,3,13,2,0,0,15,10,7,1
193,2015,지성준,한화,포수,9,0,26.0,0,0,24,0,0,1.0,1,2,0,0.0,0.25,12,12,1,3,1,0,0,4,0,0,0
202,2015,이홍구,KIA,포수,89,57,474.0,3,0,383,32,5,0.993,2,56,15,21.1,0.21600000000000003,246,222,25,48,10,1,12,96,39,5,0
208,2015,이성우,KIA,포수,74,38,354.33333333333326,2,1,300,32,2,0.9940000000000001,3,35,15,30.0,0.222,134,117,8,26,8,0,1,37,16,5,3
209,2015,백용환,KIA,포수,61,42,375.66666666666674,3,1,299,28,2,0.991,1,39,10,20.4,0.23399999999999999,177,154,22,36,6,0,10,72,30,0,3
240,2015,차일목,KIA,포수,11,7,69.0,1,0,46,5,1,0.981,0,10,2,16.7,0.174,25,23,0,4,0,0,0,4,2,0,0
248,2015,장성우,KT,포수,109,99,808.6666666666665,7,1,693,60,7,0.991,4,89,29,24.6,0.284,491,433,55,123,20,1,13,184,77,3,9
272,2015,김종민,KT,포수,22,6,83.66666666666667,1,0,69,3,0,0.986,0,11,1,8.3,0.21899999999999997,35,32,2,7,0,0,0,7,1,0,0
275,2015,윤요섭,KT,포수,17,5,72.0,1,0,60,4,0,0.985,1,6,1,14.3,0.264,159,148,17,39,4,0,9,70,28,2,2
281,2015,유강남,LG,포수,124,85,704.6666666666665,3,0,617,45,8,0.995,2,87,21,19.4,0.272,313,279,26,76,11,1,8,113,37,7,1
282,2015,최경철,LG,포수,109,58,545.3333333333334,5,0,442,33,1,0.99,6,38,17,30.9,0.20800000000000002,215,183,23,38,7,1,3,56,19,9,1
323,2015,김태군,NC,포수,144,139,1086.6666666666667,3,1,922,59,6,0.997,4,74,31,29.5,0.254,474,421,45,107,24,0,6,149,52,11,7
337,2015,용덕한,NC,포수,88,38,394.66666666666674,1,2,334,31,7,0.997,1,36,14,28.0,0.243,157,140,12,34,6,0,1,43,13,5,0
349,2015,박광열,NC,포수,33,0,65.33333333333333,0,0,53,2,1,1.0,1,2,0,0.0,0.28600000000000003,22,21,2,6,1,0,0,7,3,0,1
363,2015,정상호,SK,포수,90,74,631.0,7,2,580,46,4,0.9890000000000001,1,64,29,31.2,0.254,324,279,34,71,11,1,12,120,49,8,0
373,2015,이재원,SK,포수,70,67,563.3333333333334,3,0,500,37,3,0.9940000000000001,5,42,18,30.0,0.282,559,489,58,138,18,1,17,209,100,0,5
390,2015,허웅,SK,포수,17,2,49.0,0,1,46,3,0,1.0,0,1,0,0.0,0.294,19,17,2,5,1,0,0,6,3,0,0
393,2015,김민식,SK,포수,11,1,31.33333333333333,0,0,37,1,0,1.0,0,1,0,0.0,0.16699999999999998,26,24,4,4,0,0,0,4,0,0,0
401,2016,박동원,키움,포수,126,122,991.3333333333335,7,1,743,89,8,0.992,8,60,41,40.6,0.248,454,411,44,102,25,1,14,171,70,6,3
408,2016,김재현,키움,포수,55,19,224.66666666666663,1,0,143,12,2,0.9940000000000001,2,28,8,22.2,0.18100000000000002,82,72,8,13,2,0,0,15,8,2,0
433,2016,주효상,키움,포수,8,1,25.33333333333333,0,0,12,2,0,1.0,1,1,1,50.0,0.222,19,18,3,4,1,0,0,5,3,0,0
435,2016,지재옥,키움,포수,7,2,39.0,0,0,36,1,0,1.0,0,9,1,10.0,0.231,17,13,2,3,0,0,1,6,1,0,0
444,2016,양의지,두산,포수,103,93,740.0,7,1,628,50,12,0.99,1,54,20,27.0,0.319,392,332,66,106,17,0,22,189,66,1,7
448,2016,박세혁,두산,포수,80,46,469.33333333333326,2,0,335,28,6,0.995,1,24,14,36.8,0.209,210,172,26,36,5,1,5,58,23,11,3
463,2016,최재훈,두산,포수,20,3,58.33333333333334,1,0,42,3,0,0.978,1,3,1,25.0,0.16699999999999998,22,18,1,3,1,0,0,4,4,0,1
471,2016,최용제,두산,포수,4,2,20.0,0,0,14,2,0,1.0,1,1,0,0.0,0.222,11,9,0,2,0,0,0,2,1,1,0
481,2016,강민호,롯데,포수,95,93,763.3333333333335,4,3,629,72,10,0.9940000000000001,7,61,32,34.4,0.32299999999999995,460,381,65,123,26,0,20,209,72,0,3
485,2016,김준태,롯데,포수,58,33,316.6666666666667,0,0,257,27,4,1.0,3,18,15,45.5,0.275,144,120,12,33,3,1,2,44,16,1,1
505,2016,김사훈,롯데,포수,19,11,100.0,0,0,63,6,0,1.0,3,8,4,33.3,0.321,36,28,5,9,1,0,0,10,4,5,0
506,2016,안중열,롯데,포수,18,7,81.0,1,0,71,1,0,0.986,1,3,1,25.0,0.179,29,28,2,5,1,0,0,6,3,0,0
517,2016,이지영,삼성,포수,124,101,867.0,10,1,682,65,13,0.987,5,77,35,31.3,0.297,419,390,36,116,12,0,7,149,50,8,2
524,2016,이흥련,삼성,포수,82,39,381.33333333333326,5,2,291,28,5,0.985,3,35,9,20.5,0.26,174,150,20,39,11,0,6,68,25,9,2
555,2016,이정식,삼성,포수,7,4,30.0,1,0,13,3,0,0.941,0,3,2,40.0,0.0,9,8,0,0,0,0,0,0,1,0,0
557,2016,차일목,한화,포수,116,90,708.3333333333335,6,2,582,57,6,0.991,6,76,31,29.0,0.228,329,276,30,63,8,0,3,80,38,13,6
564,2016,조인성,한화,포수,73,24,333.6666666666667,4,0,257,26,2,0.986,1,32,13,28.9,0.168,146,137,10,23,2,0,3,34,7,6,0
574,2016,허도환,한화,포수,47,29,230.66666666666663,1,0,154,23,4,0.9940000000000001,1,16,11,40.7,0.218,93,78,9,17,8,0,0,25,12,4,0
604,2016,이홍구,KIA,포수,92,64,532.0,5,0,428,33,4,0.9890000000000001,0,56,10,15.2,0.266,273,241,27,64,16,2,9,111,45,3,6
605,2016,백용환,KIA,포수,74,48,425.33333333333326,6,1,297,35,5,0.982,3,39,17,30.4,0.195,199,174,12,34,7,0,4,53,15,3,2
608,2016,이성우,KIA,포수,53,23,227.0,2,0,184,17,1,0.99,1,26,12,31.6,0.21100000000000002,89,76,9,16,1,0,0,17,6,4,1
622,2016,한승택,KIA,포수,25,9,91.66666666666669,1,0,77,7,0,0.988,0,15,1,6.3,0.179,30,28,1,5,0,0,0,5,5,1,0
647,2016,이해창,KT,포수,85,66,575.3333333333334,8,0,476,48,6,0.985,7,35,31,47.0,0.203,254,231,16,47,10,0,6,75,22,8,3
