,연도,팀,경기수,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,득점
0,2020,한화,9,334,100,18,2,12,51,30,8,63,53
1,2020,KIA,7,219,44,7,0,3,14,18,2,56,14
2,2020,kt,9,320,94,18,0,9,51,28,1,51,53
3,2020,LG,6,219,70,7,0,7,36,23,2,39,38
4,2020,NC,3,108,31,5,0,5,19,15,2,20,19
5,2020,두산,8,292,81,16,0,5,41,34,3,46,44
6,2020,SK,6,204,59,12,0,7,34,28,3,33,37
7,2020,삼성,9,296,67,15,0,4,28,27,2,53,29
8,2020,키움,9,311,84,22,0,2,32,27,5,52,38
9,2019,한화,15,558,150,17,1,16,82,51,6,111,87
10,2019,KIA,16,554,154,32,3,11,77,45,8,129,82
11,2019,kt,16,563,145,27,4,10,53,50,4,99,56
12,2019,LG,16,534,121,23,3,8,51,61,4,110,56
13,2019,NC,16,549,140,23,2,9,66,54,13,121,67
14,2019,두산,16,526,126,26,3,3,42,38,8,111,45
15,2019,SK,16,538,126,17,0,11,50,46,9,156,53
16,2019,삼성,16,570,153,27,4,19,87,59,8,120,93
17,2019,키움,16,527,116,22,2,3,37,25,5,128,39
18,2018,한화,16,553,155,25,0,20,84,61,14,140,88
19,2018,KIA,16,568,171,41,2,21,92,56,8,122,96
20,2018,kt,16,581,186,31,0,27,104,45,14,125,105
21,2018,LG,16,576,160,30,4,17,79,45,11,136,82
22,2018,NC,16,575,176,31,3,27,95,68,7,123,102
23,2018,두산,16,561,149,34,5,15,77,48,7,122,79
24,2018,SK,16,569,166,34,0,30,101,54,4,127,106
25,2018,삼성,16,572,157,25,1,21,68,51,10,134,69
26,2018,넥센,16,575,164,38,2,25,92,43,6,128,94
27,2017,한화,16,542,161,31,1,17,78,45,12,108,84
28,2017,KIA,16,564,154,26,3,14,66,50,11,110,68
29,2017,kt,16,581,200,40,2,20,102,45,5,101,107
30,2017,LG,16,555,156,29,0,19,79,43,19,121,86
31,2017,NC,16,537,137,26,2,16,74,58,15,127,79
32,2017,두산,16,551,146,18,2,11,62,53,12,119,66
33,2017,SK,16,558,165,33,1,19,87,52,15,107,93
34,2017,삼성,16,534,143,22,2,11,62,62,12,107,69
35,2017,넥센,16,553,161,25,4,23,83,45,8,110,86
36,2016,한화,16,554,164,21,3,12,86,72,11,103,90
37,2016,KIA,16,568,165,34,1,14,87,62,5,123,91
38,2016,kt,16,547,165,32,4,10,85,74,12,126,91
39,2016,LG,16,564,169,25,4,15,96,71,10,125,100
40,2016,롯데,2,0,0,0,0,0,0,0,0,0,0
41,2016,NC,16,539,121,18,1,11,44,50,7,139,45
42,2016,두산,16,586,188,36,2,21,106,83,10,133,111
43,2016,SK,16,525,132,24,2,12,63,72,8,102,69
44,2016,삼성,16,585,186,34,1,21,92,57,11,118,101
45,2016,넥센,16,552,153,29,2,11,75,55,9,95,82
46,2015,한화,16,554,167,33,1,23,97,75,10,118,101
47,2015,KIA,16,541,148,35,2,13,74,64,6,106,80
48,2015,kt,16,586,178,33,3,23,102,73,13,130,111
49,2015,LG,16,557,163,30,3,22,88,51,6,136,92
50,2015,롯데,2,1,0,0,0,0,0,0,0,0,0
51,2015,NC,16,513,130,22,2,14,52,48,10,120,55
52,2015,두산,16,538,143,25,3,16,69,58,2,119,77
53,2015,SK,16,551,136,19,1,19,64,55,7,143,68
54,2015,삼성,16,536,161,28,0,29,96,51,6,143,100
55,2015,넥센,16,543,154,27,3,14,73,53,8,150,75
