,연도,홈원정,경기수,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,득점
0,2020,원정,37,1319,350,55,0,31,159,130,18,235,170
1,2020,홈,29,984,280,65,2,23,147,100,10,178,155
2,2019,원정,70,2513,631,99,14,44,277,221,32,541,291
3,2019,홈,71,2406,600,115,8,46,268,208,33,544,287
4,2018,원정,72,2617,750,143,6,106,397,241,42,603,418
5,2018,홈,72,2513,734,146,11,97,395,230,39,554,403
6,2017,원정,72,2500,662,118,5,64,294,221,50,525,312
7,2017,홈,72,2475,761,132,12,86,399,232,59,485,426
8,2016,원정,72,2568,731,121,13,61,363,293,37,524,383
9,2016,홈,72,2452,712,132,7,66,371,303,46,540,397
10,2015,원정,72,2489,680,113,9,70,305,264,35,575,324
11,2015,홈,72,2431,700,139,9,103,410,264,33,590,435
