,연도,홈원정,경기수,타수,피안타,자책점,승,패,세이브,홀드,이닝,탈삼진,볼넷,방어율,피홈런,사구,실점,피안타율
0,2020,원정,37,1253,339,180,14,23,6,23,327 2/3,252,128,6.09,40,12,195,0.275
1,2020,홈,29,1013,274,135,18,11,6,12,263,200,87,6.76,36,11,147,0.292
2,2019,원정,72,2531,717,351,22,51,4,19,646 1/3,530,286,6.95,55,42,393,0.293
3,2019,홈,72,2715,755,362,29,44,12,28,690 1/3,561,278,9,72,31,400,0.289
4,2018,원정,72,2445,665,354,34,36,13,29,621 2/3,582,254,6.52,75,45,402,0.285
5,2018,홈,72,2616,745,417,34,38,16,35,662,582,294,7.42,91,28,444,0.317
6,2017,원정,72,2363,649,319,33,37,18,30,612 1/3,526,232,5.64,66,47,341,0.287
7,2017,홈,72,2435,668,313,43,24,19,30,627 1/3,520,238,4.29,86,29,339,0.255
8,2016,원정,72,2436,737,411,26,47,10,25,609 2/3,490,281,6.81,70,35,448,0.304
9,2016,홈,72,2514,732,372,40,32,17,33,641 1/3,506,292,6.65,88,40,408,0.305
10,2015,원정,72,2542,767,371,29,46,10,19,642 2/3,476,262,5.87,75,45,404,0.315
11,2015,홈,72,2639,745,384,37,37,9,28,678,565,248,5.2,99,44,428,0.317
