,연도,월,경기수,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,득점
0,2020,05,23,801,204,45,0,15,92,82,12,151,101
1,2020,06,23,809,231,41,2,20,111,76,7,139,116
2,2020,07,20,693,195,34,0,19,103,72,9,123,108
3,2019,03,8,270,68,18,1,4,40,26,2,60,41
4,2019,04,22,760,204,27,6,14,89,75,12,166,99
5,2019,05,27,964,264,41,5,18,138,95,17,217,144
6,2019,06,24,828,202,28,2,15,92,90,11,161,99
7,2019,07,18,593,135,24,4,12,53,52,6,156,54
8,2019,08,25,843,212,45,4,19,86,48,13,172,92
9,2019,09,19,625,137,31,0,8,46,42,4,145,48
10,2019,10,1,36,9,0,0,0,1,1,0,8,1
11,2018,03,7,224,44,10,1,3,19,24,1,64,21
12,2018,04,22,784,237,43,1,28,126,68,20,178,127
13,2018,05,24,827,233,53,5,22,117,69,8,185,121
14,2018,06,25,938,277,45,2,54,167,96,16,196,174
15,2018,07,21,753,222,47,4,27,111,61,11,167,117
16,2018,08,11,387,120,25,1,16,65,30,6,79,65
17,2018,09,22,796,234,44,2,35,127,82,15,182,133
18,2018,10,12,421,117,22,1,18,60,41,4,106,63
19,2017,03,1,33,7,2,0,1,3,0,1,8,5
20,2017,04,25,820,230,35,5,21,108,96,18,197,118
21,2017,05,24,851,256,50,4,26,124,75,21,147,129
22,2017,06,25,905,258,39,4,32,126,79,19,178,134
23,2017,07,22,743,193,37,2,16,87,69,24,158,90
24,2017,08,27,948,279,48,1,36,155,86,13,198,160
25,2017,09,19,647,194,36,1,18,87,46,13,120,98
26,2017,10,1,28,6,3,0,0,3,2,0,4,4
27,2016,04,25,869,253,42,6,23,123,91,9,185,131
28,2016,05,24,831,242,40,5,24,125,107,15,168,134
29,2016,06,25,898,262,55,1,17,137,95,7,183,144
30,2016,07,20,716,204,36,5,19,111,80,15,157,119
31,2016,08,23,771,202,40,0,17,94,119,15,170,103
32,2016,09,21,727,226,33,3,20,119,87,18,148,124
33,2016,10,6,208,54,7,0,7,25,17,4,53,25
34,2015,03,3,91,28,7,0,5,23,17,2,22,23
35,2015,04,22,683,179,31,4,27,107,93,15,178,118
36,2015,05,27,948,289,53,3,44,160,103,15,230,166
37,2015,06,21,697,169,28,2,22,73,60,10,176,79
38,2015,07,22,770,213,33,3,22,99,83,11,172,111
39,2015,08,23,805,240,52,2,22,122,86,9,194,125
40,2015,09,23,826,238,46,4,26,119,79,5,172,123
41,2015,10,3,100,24,2,0,5,12,7,1,21,14
