,연도,팀,경기수,타수,피안타,자책점,승,패,세이브,홀드,이닝,탈삼진,볼넷,방어율,피홈런,사구,실점,피안타율
0,2020,한화,9,307,69,17,6,3,1,5,84,62,27,2.51,3,6,25,0.193
1,2020,KIA,7,242,80,49,1,6,0,0,57,37,25,11.89,12,4,49,0.309
2,2020,kt,9,299,69,26,7,2,2,5,80 2/3,65,19,3.79,11,1,27,0.234
3,2020,LG,6,204,60,37,3,3,1,5,53 1/3,41,16,6.2,3,2,38,0.278
4,2020,NC,3,107,31,19,1,2,0,0,27,18,9,10.41,6,1,23,0.324
5,2020,두산,8,296,89,43,3,5,1,4,74 2/3,48,32,6.53,12,1,53,0.307
6,2020,SK,6,213,61,31,3,3,0,3,54 1/3,48,12,5.58,11,1,33,0.265
7,2020,삼성,9,309,87,50,3,6,2,2,80,54,34,7.81,10,5,50,0.29
8,2020,키움,9,289,67,43,5,4,5,11,79 2/3,79,41,8.82,8,2,44,0.261
9,2019,한화,16,553,154,61,8,8,2,7,142 2/3,143,49,4.47,7,7,78,0.294
10,2019,KIA,16,585,163,78,8,9,3,9,150 1/3,121,67,4.61,16,6,83,0.316
11,2019,kt,16,602,184,85,3,11,1,8,150 1/3,108,75,6.73,13,6,91,0.342
12,2019,LG,16,588,139,57,5,11,1,3,156 2/3,142,60,4.6,10,14,64,0.265
13,2019,롯데,0,25,5,3,1,0,0,0,6 2/3,11,1,4.05,1,1,3,0.2
14,2019,NC,16,544,164,80,5,11,1,2,141,108,62,5.82,15,5,87,0.308
15,2019,두산,16,592,169,76,6,12,3,2,150,103,61,4.56,8,11,87,0.278
16,2019,SK,16,562,155,79,3,13,2,6,140 1/3,102,49,6.04,19,8,87,0.264
17,2019,삼성,16,604,166,95,9,7,2,6,153 1/3,127,79,9.77,23,9,106,0.27
18,2019,키움,16,591,173,99,3,13,1,4,145 1/3,126,61,8.36,15,6,107,0.285
19,2018,한화,16,540,148,82,6,10,3,12,137 2/3,127,56,5.83,18,10,96,0.258
20,2018,KIA,16,566,161,78,10,6,2,10,143,111,47,5.24,13,9,87,0.276
21,2018,kt,16,577,156,91,11,4,6,9,146,144,60,5.67,28,3,96,0.258
22,2018,LG,16,567,153,85,7,8,4,12,145,133,56,8.25,17,8,96,0.328
23,2018,NC,16,571,155,81,9,7,4,4,145,109,64,5.92,13,8,85,0.287
24,2018,두산,16,568,179,111,3,13,1,4,139,115,66,7.41,24,13,116,0.294
25,2018,SK,16,542,136,70,9,7,2,3,142,137,67,4.75,21,3,74,0.268
26,2018,삼성,16,577,183,100,4,12,2,3,142,132,65,7.41,19,12,110,0.348
27,2018,넥센,16,553,139,73,9,7,5,7,144,156,67,5.66,13,7,86,0.259
28,2017,한화,16,464,116,40,9,5,3,7,125,91,41,2.35,12,6,48,0.199
29,2017,KIA,16,569,163,81,7,9,4,4,145 1/3,122,77,5.88,15,10,87,0.284
30,2017,kt,16,541,159,74,11,5,4,9,141,108,49,6.07,12,4,81,0.312
31,2017,LG,16,526,142,60,7,7,1,2,137 2/3,116,51,5.07,8,8,66,0.275
32,2017,NC,16,562,161,79,9,7,4,10,142 1/3,125,44,7.04,28,14,81,0.305
33,2017,두산,16,512,136,74,8,7,4,10,132 2/3,90,59,6.57,15,9,77,0.245
34,2017,SK,16,530,141,73,8,7,5,5,136 2/3,135,50,4.52,27,10,76,0.255
35,2017,삼성,16,561,153,77,8,8,7,5,144,128,54,5.03,15,11,89,0.245
36,2017,넥센,16,533,146,74,9,6,5,8,135,131,45,7.4,20,4,75,0.287
37,2016,한화,16,581,182,87,8,8,3,5,145,117,62,5.84,15,6,95,0.305
38,2016,KIA,16,522,153,79,6,9,2,4,130,102,46,8.3,19,10,89,0.329
39,2016,kt,16,546,161,65,10,7,6,13,143 2/3,97,53,4.79,15,3,71,0.355
40,2016,LG,16,565,170,86,8,8,5,6,141 1/3,114,84,4.32,13,5,96,0.27
41,2016,NC,16,539,164,115,1,16,0,4,133 2/3,100,70,12.6,24,12,119,0.343
42,2016,두산,16,577,172,101,8,8,0,6,144,103,60,7.22,21,12,107,0.281
43,2016,SK,16,504,131,69,7,9,5,4,133 2/3,121,48,3.77,18,10,73,0.231
44,2016,삼성,16,569,167,87,11,5,3,8,143 2/3,109,80,6.51,17,9,102,0.286
45,2016,넥센,16,547,169,94,7,9,3,8,136,133,70,8.79,16,8,104,0.348
46,2015,한화,16,526,132,68,8,8,0,6,142 1/3,122,58,9.29,21,8,73,0.255
47,2015,KIA,16,550,145,68,9,7,6,5,144,125,48,5,16,14,77,0.273
48,2015,kt,16,596,185,96,10,6,2,11,149 2/3,117,72,6.32,23,7,110,0.316
49,2015,LG,16,564,158,68,9,6,1,4,146 1/3,106,51,3.98,9,11,73,0.318
50,2015,롯데,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0
51,2015,NC,16,566,166,79,5,11,2,4,145 2/3,120,47,7.48,12,15,87,0.312
52,2015,두산,16,581,164,95,6,11,2,0,147 1/3,112,53,5.95,15,9,101,0.259
53,2015,SK,16,582,169,74,6,12,1,7,151 1/3,116,60,5.91,21,11,79,0.282
54,2015,삼성,16,614,196,110,6,12,2,5,147,115,64,7.5,29,4,123,0.344
55,2015,넥센,16,599,197,97,7,10,3,5,146,108,55,7.49,28,10,109,0.331
