"연도","순위","경기","승리","패전","무","승률","득점","실점","홈런","도루","타율","방어율"
"2020","8","66","32","34","0","0.485","325","342","54","50","0.274","4.80"
"2019","10","144","48","93","3","0.340","578","764","90","65","0.250","4.83"
"2018","7","144","68","74","2","0.479","821","846","203","68","0.289","5.37"
"2017","3","144","80","62","2","0.563","743","701","151","92","0.285","4.56"
"2016","8","144","66","78","0","0.458","777","865","127","145","0.288","5.63"
"2015","8","144","66","77","1","0.462","765","802","177","104","0.280","5.07"
"2014","7","128","58","69","1","0.457","716","719","121","63","0.287","5.19"
"2013","5","128","66","58","4","0.532","556","553","61","133","0.261","3.93"
"2012","4","133","65","62","6","0.512","509","518","73","119","0.263","3.48"
"2011","3","133","72","56","5","0.563","713","619","111","112","0.288","4.20"
"2010","4","133","69","61","3","0.519","773","710","185","124","0.288","4.82"
"2009","4","133","66","67","0","0.496","637","669","121","106","0.277","4.75"
"2008","3","126","69","57","0","0.548","624","518","93","133","0.282","3.64"
"2007","7","126","55","68","3","0.447","533","554","76","67","0.270","4.12"
"2006","7","126","50","73","3","0.407","488","541","88","62","0.250","3.86"
"2005","5","126","58","67","1","0.464","500","573","83","88","0.253","4.30"
"2004","8","133","50","72","11","0.410","533","608","88","129","0.252","4.22"
"2003","8","133","39","91","3","0.300","491","709","73","84","0.256","5.01"
"2002","8","133","35","97","1","0.265","463","710","85","76","0.245","4.72"
"2001","8","133","59","70","4","0.457","718","670","121","106","0.280","4.68"
"2000","2","133","65","64","4","0.504","603","579","104","92","0.260","4.02"
"1999","1","132","75","52","5","0.591","753","590","145","98","0.291","4.18"
"1998","8","126","50","72","4","0.410","536","646","86","76","0.255","4.61"
"1997","8","126","48","77","1","0.385","434","621","75","110","0.237","4.58"
"1996","5","126","57","63","6","0.476","566","580","72","139","0.274","4.16"
"1995","2","126","68","53","5","0.560","590","493","65","220","0.255","3.47"
"1994","6","126","56","67","3","0.456","489","604","58","175","0.257","4.44"
"1993","6","126","62","63","1","0.496","452","462","29","174","0.248","3.33"
"1992","1","126","71","55","0","0.563","663","581","68","130","0.288","4.28"
"1991","4","126","61","62","3","0.496","583","558","73","97","0.260","4.03"
"1990","6","120","44","71","5","0.388","453","585","41","125","0.245","4.44"
"1989","7","120","48","67","5","0.421","419","522","38","100","0.247","3.91"
"1988","3","108","57","49","2","0.537","482","449","68","127","0.270","3.63"
"1987","3","108","54","49","5","0.523","432","404","40","99","0.268","3.36"
"1986","5","108","50","52","6","0.490","373","360","37","89","0.248","2.74"
"1985","2","110","59","51","0","0.536","426","420","77","79","0.256","3.05"
"1984","1","100","50","48","2","0.510","405","390","71","108","0.257","3.31"
"1983","6","100","43","56","1","0.434","365","464","77","76","0.244","3.79"
"1982","5","80","31","49","0","0.388","353","385","59","83","0.256","3.95"
