,¿¬µµ,ÆÀ¸í,º´»ì,º¸»ì,ÀÚ»ì
0,2015,KIA,17.5,67.33333333333333,51.0
1,2015,KT,28.25,98.25,82.75
2,2015,LG,17.428571428571427,61.857142857142854,43.714285714285715
3,2015,NC,17.166666666666668,71.16666666666667,50.166666666666664
4,2015,SK,16.0,64.83333333333333,48.333333333333336
5,2015,µÎ»ê,17.833333333333332,65.16666666666667,54.166666666666664
6,2015,·Ôµ¥,20.0,80.2,61.6
7,2015,»ï¼º,13.833333333333334,59.0,49.5
8,2015,Å°¿ò,23.0,84.0,65.2
9,2015,ÇÑÈ­,34.333333333333336,147.0,107.66666666666667
10,2016,KIA,12.75,48.875,42.0
11,2016,KT,19.0,70.66666666666667,55.166666666666664
12,2016,LG,25.75,108.0,76.75
13,2016,NC,19.0,80.0,58.2
14,2016,SK,23.6,88.8,61.6
15,2016,µÎ»ê,26.5,101.0,72.75
16,2016,·Ôµ¥,16.833333333333332,66.33333333333333,54.166666666666664
17,2016,»ï¼º,16.666666666666668,60.5,48.166666666666664
18,2016,Å°¿ò,29.333333333333332,126.0,117.33333333333333
19,2016,ÇÑÈ­,37.666666666666664,144.66666666666666,120.66666666666667
20,2017,KIA,23.0,82.2,68.0
21,2017,KT,20.8,82.8,66.0
22,2017,LG,24.75,105.0,74.5
23,2017,NC,20.0,81.8,58.0
24,2017,SK,21.0,88.0,61.8
25,2017,µÎ»ê,26.0,93.0,85.0
26,2017,·Ôµ¥,15.833333333333334,70.16666666666667,51.0
27,2017,»ï¼º,19.833333333333332,69.66666666666667,46.5
28,2017,Å°¿ò,18.2,81.4,62.6
29,2017,ÇÑÈ­,23.0,87.6,67.8
30,2018,KIA,19.4,78.2,57.6
31,2018,KT,33.25,119.25,88.75
32,2018,LG,11.2,65.4,41.2
33,2018,NC,21.4,76.4,70.8
34,2018,SK,26.8,102.8,70.4
35,2018,µÎ»ê,21.2,80.6,59.2
36,2018,·Ôµ¥,19.2,86.6,62.2
37,2018,»ï¼º,18.6,78.0,54.8
38,2018,Å°¿ò,21.8,94.8,59.2
39,2018,ÇÑÈ­,21.0,80.4,54.6
40,2019,KIA,15.0,58.666666666666664,41.833333333333336
41,2019,KT,16.833333333333332,73.33333333333333,48.166666666666664
42,2019,LG,20.4,80.6,57.0
43,2019,NC,19.6,84.2,62.6
44,2019,SK,12.375,54.875,37.25
45,2019,µÎ»ê,16.5,73.5,49.833333333333336
46,2019,·Ôµ¥,16.0,70.33333333333333,48.5
47,2019,»ï¼º,19.6,80.2,59.8
48,2019,Å°¿ò,13.714285714285714,61.0,41.57142857142857
49,2019,ÇÑÈ­,60.5,217.5,159.5
50,2020,KIA,9.333333333333334,33.666666666666664,22.5
51,2020,KT,8.833333333333334,39.0,23.0
52,2020,LG,14.5,52.5,33.5
53,2020,NC,8.0,29.166666666666668,24.833333333333332
54,2020,SK,13.0,50.75,37.25
55,2020,µÎ»ê,11.25,48.5,36.0
56,2020,·Ôµ¥,9.5,49.25,28.75
57,2020,»ï¼º,12.75,50.5,38.25
58,2020,Å°¿ò,15.0,52.25,40.75
59,2020,ÇÑÈ­,37.0,152.0,117.0
