,¿¬µµ,ÆÀ¸í,Èñ»ýÇÃ¶óÀÌ
0,2015,KIA,1.1666666666666667
1,2015,KT,1.6
2,2015,LG,2.4
3,2015,NC,1.4
4,2015,SK,1.125
5,2015,µÎ»ê,2.0
6,2015,·Ôµ¥,2.3333333333333335
7,2015,»ï¼º,2.6
8,2015,Å°¿ò,1.8333333333333333
9,2015,ÇÑÈ­,0.8333333333333334
10,2016,KIA,2.6666666666666665
11,2016,KT,1.7142857142857142
12,2016,LG,4.0
13,2016,NC,2.1666666666666665
14,2016,SK,2.0
15,2016,µÎ»ê,1.6
16,2016,·Ôµ¥,2.0
17,2016,»ï¼º,2.0
18,2016,Å°¿ò,3.8
19,2016,ÇÑÈ­,1.8
20,2017,KIA,2.3333333333333335
21,2017,KT,4.25
22,2017,LG,1.8333333333333333
23,2017,NC,1.375
24,2017,SK,2.4
25,2017,µÎ»ê,1.3333333333333333
26,2017,·Ôµ¥,1.5
27,2017,»ï¼º,2.2
28,2017,Å°¿ò,2.0
29,2017,ÇÑÈ­,2.0
30,2018,KIA,0.7142857142857143
31,2018,KT,1.75
32,2018,LG,2.4
33,2018,NC,1.625
34,2018,SK,2.2
35,2018,µÎ»ê,4.0
36,2018,·Ôµ¥,1.8571428571428572
37,2018,»ï¼º,3.25
38,2018,Å°¿ò,2.2
39,2018,ÇÑÈ­,1.0
40,2019,KIA,1.0
41,2019,KT,1.6
42,2019,LG,0.5714285714285714
43,2019,NC,2.5
44,2019,SK,5.0
45,2019,µÎ»ê,5.4
46,2019,·Ôµ¥,1.0
47,2019,»ï¼º,1.6666666666666667
48,2019,Å°¿ò,2.5
49,2019,ÇÑÈ­,2.3333333333333335
50,2020,KIA,0.6666666666666666
51,2020,KT,0.5
52,2020,LG,0.16666666666666666
53,2020,NC,0.8571428571428571
54,2020,SK,0.6666666666666666
55,2020,µÎ»ê,1.4
56,2020,·Ôµ¥,0.4
57,2020,»ï¼º,1.8571428571428572
58,2020,Å°¿ò,1.5
59,2020,ÇÑÈ­,0.25
