,연도,팀명,경기,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루실패,도루저지율
0,2001,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
1,2001,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
2,2001,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
3,2001,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
4,2001,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
5,2001,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
6,2001,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
7,2001,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
8,2001,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
9,2001,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
10,2002,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
11,2002,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
12,2002,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
13,2002,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
14,2002,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
15,2002,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
16,2002,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
17,2002,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
18,2002,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
19,2002,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
20,2003,키움,63.0,46.0,9.0,1670.0,675.0,70.0,0.981,4.0,40.0,14.0,25.9
21,2003,LG,61.0,36.0,4.0,1645.0,611.0,61.0,0.984,5.0,35.0,18.0,34.0
22,2003,삼성,62.0,41.0,4.0,1635.0,573.0,61.0,0.982,1.0,27.0,15.0,35.7
23,2003,두산,61.0,39.0,4.0,1634.0,543.0,55.0,0.982,2.0,30.0,9.0,23.1
24,2003,SK,62.0,46.0,2.0,1630.0,570.0,59.0,0.98,1.0,66.0,22.0,25.0
25,2003,NC,60.0,28.0,5.0,1626.0,550.0,55.0,0.987,1.0,15.0,17.0,53.1
26,2003,KT,61.0,42.0,4.0,1624.0,631.0,61.0,0.982,8.0,24.0,9.0,27.3
27,2003,한화,62.0,53.0,2.0,1621.0,560.0,55.0,0.976,5.0,54.0,22.0,28.9
28,2003,롯데,59.0,31.0,0.0,1594.0,616.0,58.0,0.986,4.0,39.0,13.0,25.0
29,2003,KIA,59.0,40.0,4.0,1550.0,607.0,67.0,0.982,1.0,35.0,15.0,30.0
