,연도,팀명,경기,도루시도,도루허용,도루실패,도루성공률,주루사,견제사
0,2001,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
1,2001,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
2,2001,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
3,2001,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
4,2001,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
5,2001,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
6,2001,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
7,2001,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
8,2001,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
9,2001,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
10,2002,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
11,2002,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
12,2002,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
13,2002,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
14,2002,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
15,2002,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
16,2002,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
17,2002,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
18,2002,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
19,2002,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
20,2003,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
21,2003,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
22,2003,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
23,2003,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
24,2003,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
25,2003,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
26,2003,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
27,2003,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
28,2003,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
29,2003,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
30,2004,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
31,2004,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
32,2004,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
33,2004,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
34,2004,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
35,2004,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
36,2004,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
37,2004,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
38,2004,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
39,2004,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
40,2005,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
41,2005,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
42,2005,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
43,2005,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
44,2005,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
45,2005,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
46,2005,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
47,2005,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
48,2005,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
49,2005,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
50,2006,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
51,2006,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
52,2006,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
53,2006,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
54,2006,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
55,2006,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
56,2006,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
57,2006,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
58,2006,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
59,2006,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
60,2007,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
61,2007,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
62,2007,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
63,2007,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
64,2007,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
65,2007,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
66,2007,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
67,2007,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
68,2007,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
69,2007,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
70,2008,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
71,2008,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
72,2008,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
73,2008,키움,63.0,51.0,42.0,9.0,82.4,11.0,6.0
74,2008,LG,61.0,58.0,38.0,20.0,65.5,26.0,1.0
75,2008,NC,60.0,52.0,38.0,14.0,73.1,14.0,4.0
76,2008,SK,62.0,53.0,33.0,20.0,62.3,14.0,9.0
77,2008,한화,62.0,48.0,32.0,16.0,66.7,22.0,2.0
78,2008,두산,61.0,42.0,29.0,13.0,69.0,22.0,1.0
79,2008,KIA,59.0,26.0,19.0,7.0,73.1,16.0,3.0
80,2009,삼성,62.0,78.0,53.0,25.0,67.9,21.0,7.0
81,2009,롯데,59.0,58.0,44.0,14.0,75.9,19.0,2.0
82,2009,KT,61.0,59.0,43.0,16.0,72.9,28.0,3.0
