,¿¬µµ,ÆÀ¸í,Å¸À²,°æ±â,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,·çÅ¸,Å¸Á¡,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ,º¼³Ý,°íÀÇ4±¸,»ç±¸,»ïÁø,º´»ìÅ¸,ÀåÅ¸À²,Ãâ·çÀ²,OPS,¸ÖÆ¼È÷Æ®,µæÁ¡±ÇÅ¸À²,´ëÅ¸Å¸À²
0,2001,·Ôµ¥,0.280,133,5308,4521,718,1265,247,24,121,1923,671,82,60,585,39,60,817,89,0.425,0.365,0.790,133,0.288,0.244
1,2001,KIA,0.278,133,5189,4542,683,1263,221,17,142,1944,637,51,43,497,21,56,774,129,0.428,0.353,0.781,133,0.272,0.225
2,2001,»ï¼º,0.277,133,5280,4553,739,1262,244,21,162,2034,695,69,42,520,27,95,814,111,0.447,0.360,0.807,133,0.267,0.223
3,2001,µÎ»ê,0.276,133,5303,4583,732,1266,221,26,130,1929,688,54,46,560,27,60,697,116,0.421,0.359,0.780,133,0.278,0.163
4,2001,LG,0.276,133,5319,4521,669,1247,219,24,85,1769,630,114,41,590,24,52,759,100,0.391,0.363,0.754,133,0.280,0.263
5,2001,ÇÑÈ­,0.275,133,5259,4556,659,1255,211,15,148,1940,628,75,34,549,28,45,877,106,0.426,0.357,0.783,133,0.265,0.233
6,2001,Çö´ë,0.268,133,5225,4445,711,1192,166,20,169,1905,667,77,29,598,14,76,911,109,0.429,0.362,0.791,133,0.279,0.232
7,2001,SK,0.260,133,5077,4400,596,1143,215,11,113,1719,555,122,26,457,23,71,770,95,0.391,0.337,0.728,133,0.255,0.274
8,2002,»ï¼º,0.284,133,5304,4648,777,1321,266,16,191,2192,731,55,34,469,26,97,804,116,0.472,0.360,0.832,133,0.278,0.165
9,2002,SK,0.270,133,5090,4475,618,1207,204,27,158,1939,587,96,34,385,15,100,815,94,0.433,0.339,0.772,133,0.271,0.218
10,2002,KIA,0.269,133,5200,4575,643,1230,220,14,120,1838,611,45,35,454,32,91,914,107,0.402,0.344,0.746,133,0.268,0.250
11,2002,LG,0.261,133,5121,4492,583,1173,212,22,100,1729,541,93,37,412,29,86,951,91,0.385,0.332,0.717,133,0.258,0.178
12,2002,Çö´ë,0.261,133,5140,4444,658,1160,191,25,173,1920,643,99,34,464,26,99,945,82,0.432,0.342,0.774,133,0.270,0.209
13,2002,µÎ»ê,0.261,133,5083,4498,587,1173,174,21,130,1779,556,47,46,434,17,58,794,107,0.396,0.331,0.727,133,0.255,0.266
14,2002,ÇÑÈ­,0.256,133,5062,4491,603,1148,206,10,170,1884,570,52,22,446,22,49,1064,106,0.420,0.328,0.748,133,0.251,0.189
15,2002,·Ôµ¥,0.245,133,4986,4512,463,1105,206,19,85,1604,443,49,22,324,14,78,978,75,0.355,0.305,0.660,132,0.224,0.131
16,2003,Çö´ë,0.286,133,5313,4483,723,1280,208,15,175,2043,673,139,38,543,23,109,727,100,0.456,0.373,0.829,133,0.272,0.208
17,2003,»ï¼º,0.284,133,5241,4564,769,1295,236,14,213,2198,744,73,38,481,19,85,661,131,0.482,0.360,0.842,133,0.293,0.206
18,2003,µÎ»ê,0.276,133,5165,4536,563,1251,205,21,90,1768,541,63,52,452,17,62,706,121,0.390,0.346,0.736,133,0.271,0.272
19,2003,KIA,0.272,133,5127,4448,657,1211,219,16,129,1849,626,94,37,505,18,42,721,72,0.416,0.349,0.765,131,0.284,0.226
20,2003,SK,0.272,133,5157,4445,644,1208,209,16,156,1917,612,127,32,464,10,89,763,87,0.431,0.350,0.781,133,0.269,0.190
21,2003,·Ôµ¥,0.256,133,4987,4465,491,1143,232,18,73,1630,451,83,28,338,11,73,848,75,0.365,0.317,0.682,133,0.243,0.206
22,2003,ÇÑÈ­,0.254,133,5198,4458,577,1131,218,20,121,1752,521,102,21,542,22,75,887,89,0.393,0.343,0.736,133,0.252,0.201
23,2003,LG,0.249,133,4964,4375,509,1088,188,29,106,1652,485,74,40,404,11,70,781,90,0.378,0.319,0.697,133,0.229,0.201
24,2004,Çö´ë,0.275,133,5322,4480,692,1233,190,13,134,1851,653,111,38,607,29,86,871,109,0.413,0.370,0.783,133,0.286,0.280
25,2004,SK,0.272,133,5254,4499,655,1223,196,9,138,1851,626,105,35,521,24,93,818,98,0.411,0.357,0.768,132,0.271,0.159
26,2004,»ï¼º,0.269,133,5170,4509,641,1215,225,9,132,1854,600,84,31,460,22,86,704,122,0.411,0.346,0.757,131,0.268,0.160
27,2004,ÇÑÈ­,0.268,133,5150,4519,632,1213,245,17,140,1912,605,88,33,456,14,54,923,107,0.423,0.340,0.763,133,0.262,0.248
28,2004,µÎ»ê,0.268,133,5109,4485,606,1200,202,19,89,1707,573,55,40,433,12,96,780,86,0.381,0.342,0.723,132,0.268,0.218
29,2004,KIA,0.267,133,5190,4426,643,1182,224,9,143,1853,610,82,54,549,22,79,693,118,0.419,0.354,0.773,132,0.263,0.263
30,2004,LG,0.259,133,5081,4432,588,1150,176,24,102,1680,554,73,40,441,18,95,892,89,0.379,0.337,0.716,133,0.264,0.193
31,2004,·Ôµ¥,0.252,133,5075,4462,533,1125,195,21,88,1626,500,74,31,416,15,92,853,99,0.364,0.327,0.691,132,0.248,0.146
32,2005,ÇÑÈ­,0.270,126,4841,4304,622,1163,211,9,159,1869,594,31,31,400,12,75,824,121,0.434,0.341,0.775,126,0.261,0.220
33,2005,µÎ»ê,0.270,126,4922,4256,596,1147,183,17,63,1553,558,81,35,465,14,85,701,93,0.365,0.351,0.716,126,0.275,0.164
34,2005,SK,0.269,126,4984,4230,589,1139,174,12,122,1703,559,136,38,495,27,85,806,88,0.403,0.355,0.758,126,0.249,0.265
35,2005,»ï¼º,0.268,126,4975,4234,614,1134,178,6,111,1657,575,98,34,500,21,109,748,112,0.391,0.357,0.748,126,0.265,0.204
36,2005,KIA,0.260,126,4848,4234,541,1102,183,13,99,1608,507,79,31,430,24,74,718,101,0.380,0.337,0.717,125,0.240,0.191
37,2005,LG,0.260,126,4785,4222,601,1098,189,21,105,1644,554,80,41,349,12,93,915,72,0.389,0.327,0.716,126,0.276,0.247
38,2005,Çö´ë,0.256,126,4899,4190,563,1071,168,16,134,1673,529,105,26,458,12,120,817,85,0.399,0.344,0.743,125,0.241,0.257
39,2005,·Ôµ¥,0.253,126,4722,4177,500,1058,202,23,83,1555,470,94,20,361,11,70,856,83,0.372,0.322,0.694,125,0.261,0.228
40,2006,Çö´ë,0.270,126,4798,4092,547,1104,172,9,92,1570,518,153,32,444,17,77,628,108,0.384,0.350,0.734,126,0.272,0.207
41,2006,µÎ»ê,0.258,126,4708,4147,455,1068,152,28,55,1441,425,81,27,368,14,83,635,102,0.347,0.328,0.675,126,0.258,0.176
42,2006,KIA,0.255,126,4754,4181,476,1067,191,22,62,1488,431,102,26,390,20,55,650,90,0.356,0.325,0.681,126,0.247,0.259
43,2006,»ï¼º,0.255,126,4779,4091,538,1043,192,9,73,1472,505,90,42,477,14,79,689,107,0.360,0.341,0.701,126,0.254,0.246
44,2006,SK,0.254,126,4793,4177,509,1059,171,19,99,1565,488,96,33,424,19,63,859,84,0.375,0.329,0.704,126,0.246,0.254
45,2006,ÇÑÈ­,0.253,126,4769,4170,511,1057,191,3,110,1584,481,68,30,442,13,59,800,120,0.380,0.331,0.711,123,0.240,0.195
46,2006,·Ôµ¥,0.250,126,4766,4137,488,1034,173,3,88,1477,463,124,21,418,17,65,815,84,0.357,0.327,0.684,125,0.268,0.184
47,2006,LG,0.246,126,4724,4217,457,1037,181,16,81,1493,430,92,32,330,19,52,813,86,0.354,0.306,0.660,125,0.232,0.208
48,2007,Çö´ë,0.271,126,4920,4260,530,1154,178,7,96,1634,507,125,32,443,38,60,653,111,0.384,0.346,0.730,126,0.269,0.300
49,2007,·Ôµ¥,0.270,126,4894,4273,533,1152,193,18,76,1609,501,104,39,405,34,73,763,87,0.377,0.340,0.717,126,0.282,0.262
50,2007,LG,0.268,126,4933,4322,532,1160,186,19,78,1618,508,89,43,431,24,48,704,107,0.374,0.338,0.712,126,0.262,0.266
51,2007,SK,0.264,126,4881,4236,603,1118,212,20,112,1706,568,87,40,442,22,76,750,86,0.403,0.341,0.744,125,0.283,0.223
52,2007,µÎ»ê,0.263,126,4856,4199,578,1103,209,32,78,1610,543,68,51,449,21,88,748,102,0.383,0.343,0.726,126,0.269,0.137
53,2007,KIA,0.257,126,4811,4204,499,1080,198,16,73,1529,465,78,45,428,7,55,630,117,0.364,0.330,0.694,126,0.242,0.156
54,2007,ÇÑÈ­,0.254,126,4805,4128,534,1050,165,13,104,1553,502,87,28,506,17,56,705,128,0.376,0.342,0.718,124,0.271,0.216
55,2007,»ï¼º,0.254,126,4895,4186,497,1062,191,9,86,1529,469,95,39,511,28,63,678,93,0.365,0.341,0.706,125,0.238,0.273
56,2008,SK,0.282,126,5003,4332,632,1222,215,23,89,1750,591,80,38,491,15,62,735,99,0.404,0.361,0.765,126,0.278,0.289
57,2008,·Ôµ¥,0.282,126,4890,4256,624,1200,199,22,93,1722,590,62,51,445,13,76,728,97,0.405,0.356,0.761,126,0.273,0.189
58,2008,µÎ»ê,0.276,126,4975,4344,647,1198,166,37,68,1642,598,36,44,472,23,78,719,115,0.378,0.354,0.732,126,0.278,0.310
59,2008,¿ì¸®,0.266,126,4834,4317,499,1149,190,19,70,1587,471,51,33,396,20,37,713,114,0.368,0.331,0.699,126,0.270,0.237
