,¿¬µµ,ÆÀ¸í,°æ±â,µµ·ç½Ãµµ,µµ·çÇã¿ë,µµ·ç½ÇÆÐ,µµ·ç¼º°ø·ü,ÁÖ·ç»ç,°ßÁ¦»ç
0,2001,ÇÑÈ­,133,200,135,65,67.5,0,0
1,2001,µÎ»ê,133,166,132,34,79.5,0,0
2,2001,SK,133,182,123,59,67.6,0,0
3,2001,·Ôµ¥,133,159,106,53,66.7,0,0
4,2001,Çö´ë,133,154,99,55,64.3,0,0
5,2001,LG,133,154,96,58,62.3,0,0
6,2001,KIA,133,155,92,63,59.4,0,0
7,2001,»ï¼º,133,117,73,44,62.4,0,0
8,2002,KIA,133,194,155,39,79.9,54,8
9,2002,LG,133,203,140,63,69.0,46,7
10,2002,µÎ»ê,133,148,106,42,71.6,46,1
11,2002,ÇÑÈ­,133,159,94,65,59.1,38,3
12,2002,SK,133,135,80,55,59.3,60,11
13,2002,Çö´ë,133,129,79,50,61.2,50,6
14,2002,·Ôµ¥,133,139,76,63,54.7,51,9
15,2002,»ï¼º,133,76,47,29,61.8,49,5
16,2003,KIA,133,213,146,67,68.5,73,11
17,2003,LG,133,197,135,62,68.5,40,5
18,2003,·Ôµ¥,133,150,84,66,56.0,60,8
19,2003,SK,133,139,82,57,59.0,64,5
20,2003,ÇÑÈ­,133,135,78,57,57.8,64,12
21,2003,Çö´ë,133,123,75,48,61.0,72,5
22,2003,µÎ»ê,133,94,58,36,61.7,45,7
23,2003,»ï¼º,133,88,56,32,63.6,41,5
24,2004,·Ôµ¥,133,175,129,46,73.7,66,10
25,2004,KIA,133,181,127,54,70.2,38,10
26,2004,Çö´ë,133,145,100,45,69.0,67,6
27,2004,ÇÑÈ­,133,140,82,58,58.6,50,7
28,2004,µÎ»ê,133,130,71,59,54.6,59,9
29,2004,LG,133,117,69,48,59.0,56,7
30,2004,SK,133,97,50,47,51.5,53,4
31,2004,»ï¼º,133,82,50,32,61.0,50,14
32,2005,LG,126,194,149,45,76.8,30,10
33,2005,µÎ»ê,126,153,103,50,67.3,51,4
34,2005,KIA,126,144,101,43,70.1,43,6
35,2005,SK,126,155,101,54,65.2,58,15
36,2005,»ï¼º,126,135,97,38,71.9,42,7
37,2005,·Ôµ¥,126,140,88,52,62.9,57,8
38,2005,Çö´ë,126,119,81,38,68.1,56,12
39,2005,ÇÑÈ­,126,86,62,24,72.1,33,2
40,2006,µÎ»ê,126,189,132,57,69.8,72,8
41,2006,»ï¼º,126,173,121,52,69.9,56,6
42,2006,SK,126,164,117,47,71.3,58,11
43,2006,KIA,126,136,93,43,68.4,46,8
44,2006,LG,126,117,84,33,71.8,30,8
45,2006,Çö´ë,126,118,71,47,60.2,53,9
46,2006,ÇÑÈ­,126,93,65,28,69.9,41,3
47,2006,·Ôµ¥,126,103,62,41,60.2,68,7
48,2007,µÎ»ê,126,220,161,59,73.2,62,12
49,2007,SK,126,204,136,68,66.7,50,9
50,2007,LG,126,176,130,46,73.9,48,11
51,2007,»ï¼º,126,147,101,46,68.7,41,6
52,2007,KIA,126,114,70,44,61.4,30,5
53,2007,·Ôµ¥,126,113,67,46,59.3,56,3
54,2007,Çö´ë,126,87,51,36,58.6,57,5
55,2007,ÇÑÈ­,126,69,48,21,69.6,43,5
56,2008,µÎ»ê,126,252,189,63,75.0,47,8
57,2008,SK,126,253,170,83,67.2,52,7
58,2008,·Ôµ¥,126,201,133,68,66.2,77,9
59,2008,KIA,126,196,131,65,66.8,62,11
60,2008,LG,126,156,111,45,71.2,48,8
61,2008,ÇÑÈ­,126,122,97,25,79.5,38,4
62,2008,¿ì¸®,126,154,97,57,63.0,44,10
63,2008,»ï¼º,126,96,59,37,61.5,53,6
64,2009,È÷¾î·ÎÁî,133,259,192,67,74.1,50,8
65,2009,SK,133,249,181,68,72.7,60,10
66,2009,LG,133,188,141,47,75.0,56,6
67,2009,µÎ»ê,133,179,129,50,72.1,62,7
68,2009,»ï¼º,133,175,125,50,71.4,64,8
69,2009,KIA,133,165,113,52,68.5,64,12
70,2009,·Ôµ¥,133,151,106,45,70.2,69,6
71,2009,ÇÑÈ­,133,89,69,20,77.5,38,5
72,2010,LG,133,225,169,56,75.1,58,15
73,2010,SK,133,230,161,69,70.0,51,13
74,2010,»ï¼º,133,213,158,55,74.2,54,8
75,2010,³Ø¼¾,133,191,135,56,70.7,56,5
76,2010,µÎ»ê,133,189,128,61,67.7,56,12
77,2010,·Ôµ¥,133,175,124,51,70.9,62,7
78,2010,ÇÑÈ­,133,191,121,70,63.4,56,11
79,2010,KIA,133,169,117,52,69.2,48,14
80,2011,»ï¼º,133,209,158,51,75.6,54,9
81,2011,µÎ»ê,133,187,130,57,69.5,70,3
82,2011,LG,133,168,116,52,69.0,53,4
83,2011,KIA,133,151,113,38,74.8,48,7
84,2011,·Ôµ¥,133,170,112,58,65.9,56,5
85,2011,SK,133,166,105,61,63.3,46,9
86,2011,ÇÑÈ­,133,176,100,76,56.8,42,13
87,2011,³Ø¼¾,133,154,99,55,64.3,47,11
88,2012,³Ø¼¾,133,251,179,72,71.3,53,16
89,2012,LG,133,197,140,57,71.1,61,6
90,2012,KIA,133,183,132,51,72.1,51,8
91,2012,»ï¼º,133,173,125,48,72.3,63,8
92,2012,·Ôµ¥,133,172,119,53,69.2,46,7
93,2012,µÎ»ê,133,167,116,51,69.5,62,10
94,2012,ÇÑÈ­,133,160,107,53,66.9,50,16
95,2012,SK,133,179,104,75,58.1,57,4
96,2013,µÎ»ê,128,233,172,61,73.8,53,15
97,2013,SK,128,207,144,63,69.6,42,13
98,2013,NC,128,189,142,47,75.1,35,19
99,2013,KIA,128,188,141,47,75.0,50,7
100,2013,LG,128,210,139,71,66.2,69,17
101,2013,·Ôµ¥,128,191,133,58,69.6,66,12
102,2013,³Ø¼¾,128,196,131,65,66.8,55,14
103,2013,»ï¼º,128,136,95,41,69.9,58,6
104,2013,ÇÑÈ­,128,119,70,49,58.8,56,9
105,2014,»ï¼º,128,207,161,46,77.8,60,10
106,2014,NC,128,201,154,47,76.6,44,7
107,2014,SK,128,185,139,46,75.1,50,11
108,2014,KIA,128,184,121,63,65.8,59,7
109,2014,µÎ»ê,128,155,111,44,71.6,50,6
110,2014,LG,128,169,105,64,62.1,51,9
111,2014,³Ø¼¾,128,144,100,44,69.4,54,13
112,2014,ÇÑÈ­,128,111,70,41,63.1,46,5
113,2014,·Ôµ¥,128,104,63,41,60.6,49,2
114,2015,NC,144,264,204,60,77.3,50,14
115,2015,»ï¼º,144,209,157,52,75.1,60,6
116,2015,KT,144,176,124,52,70.5,58,10
117,2015,KIA,144,165,115,50,69.7,60,13
118,2015,LG,144,175,113,62,64.6,55,9
119,2015,µÎ»ê,144,158,111,47,70.3,56,6
120,2015,·Ôµ¥,144,154,104,50,67.5,56,9
121,2015,³Ø¼¾,144,147,100,47,68.0,72,16
122,2015,SK,144,153,94,59,61.4,59,14
123,2015,ÇÑÈ­,144,127,80,47,63.0,57,14
124,2016,³Ø¼¾,144,237,154,83,65.0,56,11
125,2016,·Ôµ¥,144,209,145,64,69.4,55,10
126,2016,LG,144,191,121,70,63.4,70,13
127,2016,»ï¼º,144,154,104,50,67.5,51,5
128,2016,KIA,144,151,101,50,66.9,52,12
129,2016,NC,144,140,99,41,70.7,48,3
130,2016,KT,144,142,96,46,67.6,58,11
131,2016,SK,144,149,89,60,59.7,71,8
132,2016,µÎ»ê,144,130,85,45,65.4,64,4
133,2016,ÇÑÈ­,144,102,64,38,62.7,58,10
134,2017,»ï¼º,144,135,98,37,72.6,53,6
135,2017,NC,144,125,93,32,74.4,59,7
136,2017,·Ôµ¥,144,136,92,44,67.6,52,10
137,2017,KT,144,137,86,51,62.8,54,8
138,2017,LG,144,133,77,56,57.9,50,9
139,2017,KIA,144,110,76,34,69.1,46,8
140,2017,³Ø¼¾,144,104,70,34,67.3,55,2
141,2017,µÎ»ê,144,102,69,33,67.6,36,8
142,2017,ÇÑÈ­,144,108,64,44,59.3,58,12
143,2017,SK,144,95,53,42,55.8,33,7
144,2018,ÇÑÈ­,144,182,118,64,64.8,58,10
145,2018,»ï¼º,144,168,116,52,69.0,46,4
146,2018,SK,144,147,108,39,73.5,51,10
147,2018,³Ø¼¾,144,134,101,33,75.4,45,6
148,2018,µÎ»ê,144,119,96,23,80.7,54,7
149,2018,KIA,144,125,88,37,70.4,53,6
150,2018,NC,144,117,82,35,70.1,48,8
151,2018,KT,144,137,80,57,58.4,63,7
152,2018,LG,144,109,71,38,65.1,48,7
153,2018,·Ôµ¥,144,100,68,32,68.0,46,10
154,2019,SK,144,168,118,50,70.2,51,12
155,2019,Å°¿ò,144,143,110,33,76.9,37,6
156,2019,LG,144,155,108,47,69.7,38,6
157,2019,»ï¼º,144,149,107,42,71.8,45,7
158,2019,ÇÑÈ­,144,156,105,51,67.3,51,6
159,2019,KT,144,148,104,44,70.3,58,8
160,2019,µÎ»ê,144,140,102,38,72.9,59,7
161,2019,KIA,144,129,87,42,67.4,61,7
162,2019,NC,144,132,87,45,65.9,53,7
163,2019,·Ôµ¥,144,96,65,31,67.7,49,8
164,2020,»ï¼º,68,93,65,28,69.9,24,7
165,2020,Å°¿ò,70,63,51,12,81.0,14,6
166,2020,·Ôµ¥,66,67,50,17,74.6,22,2
167,2020,KT,68,70,49,21,70.0,28,3
168,2020,NC,67,61,44,17,72.1,14,4
169,2020,LG,68,64,42,22,65.6,30,2
170,2020,SK,69,59,38,21,64.4,21,9
171,2020,µÎ»ê,68,52,35,17,67.3,27,1
172,2020,ÇÑÈ­,70,54,34,20,63.0,23,2
173,2020,KIA,66,28,19,9,67.9,19,3
