,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,R/G,µæÁ¡,È¨·±,µµ·ç,º¼³Ý%,»ïÁø%,BABIP,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA
0,2015,3,28,·Ôµ¥,12.0,12,2,2,7.1,19.0,0.444,0.37799999999999995,0.439,0.6759999999999999,1.115,0.479
1,2015,3,28,µÎ»ê,9.0,9,2,1,14.0,7.0,0.32299999999999995,0.34299999999999997,0.429,0.5710000000000001,1.0,0.42700000000000005
2,2015,3,28,»ï¼º,6.0,6,0,3,9.5,11.9,0.39399999999999996,0.342,0.405,0.42100000000000004,0.826,0.37799999999999995
3,2015,3,28,KIA,3.0,3,1,2,8.8,14.7,0.28,0.267,0.324,0.467,0.7909999999999999,0.344
4,2015,3,28,Hero,5.0,5,2,2,13.0,15.2,0.19399999999999998,0.2,0.304,0.4,0.7040000000000001,0.315
5,2015,3,28,KT,9.0,9,2,1,17.4,17.4,0.462,0.4,0.511,0.6,1.111,0.486
6,2015,3,28,NC,4.0,4,0,2,10.5,21.0,0.36,0.29,0.368,0.29,0.6579999999999999,0.314
7,2015,3,28,LG,1.0,1,0,0,11.8,17.6,0.304,0.24100000000000002,0.33299999999999996,0.379,0.7120000000000001,0.32799999999999996
8,2015,3,28,ÇÑÈ­,4.0,4,0,4,13.0,13.0,0.278,0.23800000000000002,0.353,0.28600000000000003,0.639,0.309
9,2015,3,28,SK,1.0,1,0,0,13.9,22.2,0.217,0.161,0.278,0.258,0.536,0.26
10,2015,3,29,KIA,7.0,7,3,0,15.4,5.1,0.24,0.3,0.43200000000000005,0.633,1.065,0.456
11,2015,3,29,ÇÑÈ­,5.0,5,1,2,14.6,22.0,0.364,0.281,0.425,0.43799999999999994,0.863,0.39799999999999996
12,2015,3,29,SK,7.0,7,1,1,10.0,12.5,0.28600000000000003,0.273,0.342,0.424,0.7659999999999999,0.34
13,2015,3,29,µÎ»ê,4.0,4,2,0,0.0,6.9,0.2,0.24100000000000002,0.24100000000000002,0.44799999999999995,0.6890000000000001,0.293
14,2015,3,29,·Ôµ¥,5.0,5,2,2,23.1,20.5,0.21100000000000002,0.207,0.41,0.44799999999999995,0.858,0.391
15,2015,3,29,LG,6.0,6,0,3,7.0,14.0,0.441,0.385,0.419,0.513,0.932,0.41200000000000003
16,2015,3,29,NC,1.0,1,0,0,5.3,2.6,0.257,0.25,0.289,0.33299999999999996,0.622,0.28300000000000003
17,2015,3,29,»ï¼º,3.0,3,1,3,12.5,10.0,0.24100000000000002,0.235,0.35,0.324,0.674,0.32
18,2015,3,29,KT,4.0,4,0,1,15.0,15.0,0.28600000000000003,0.235,0.35,0.294,0.644,0.28800000000000003
19,2015,3,29,Hero,3.0,3,0,0,10.3,18.0,0.26899999999999996,0.212,0.33299999999999996,0.273,0.606,0.297
20,2015,3,31,»ï¼º,8.0,8,2,2,2.3,14.0,0.39399999999999996,0.366,0.381,0.634,1.015,0.436
21,2015,3,31,·Ôµ¥,7.0,7,1,0,13.2,31.6,0.45,0.303,0.395,0.424,0.8190000000000001,0.364
22,2015,3,31,LG,1.0,1,0,0,10.3,17.2,0.28600000000000003,0.231,0.31,0.26899999999999996,0.579,0.27699999999999997
23,2015,3,31,KT,6.0,6,0,0,12.8,20.5,0.28,0.212,0.33299999999999996,0.33299999999999996,0.6659999999999999,0.313
24,2015,4,1,NC,10.0,10,3,1,2.2,13.3,0.455,0.439,0.455,0.732,1.187,0.505
25,2015,4,1,»ï¼º,5.0,5,1,1,10.8,10.8,0.29600000000000004,0.281,0.361,0.469,0.83,0.37
26,2015,4,1,LG,3.0,3,0,0,18.6,18.6,0.34600000000000003,0.273,0.405,0.303,0.708,0.33399999999999996
27,2015,4,1,µÎ»ê,6.0,6,2,1,22.7,13.6,0.231,0.242,0.409,0.515,0.924,0.40299999999999997
28,2015,4,1,KIA,3.0,3,0,0,13.5,32.4,0.25,0.156,0.27,0.188,0.45799999999999996,0.231
