,¿¬µµ,¿ù,ÀÏ,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
0,2015,3,28,KIA,1,1,0,0,6.0,4.0,0.0,1.50,0.24100000000000002,0.33299999999999996,0.379,0.713,1.22,0.304,90.9,1.0,0.61,3.67,3.78,0.18
1,2015,3,28,»ï¼º,1,1,0,0,8.0,5.0,0.0,1.60,0.161,0.278,0.258,0.536,1.11,0.217,90.0,1.0,0.58,3.56,3.51,0.18
2,2015,3,28,Hero,1,0,0,0,5.25,5.25,0.0,1.00,0.23800000000000002,0.353,0.28600000000000003,0.639,1.42,0.278,77.8,3.0,0.63,4.5,4.81,0.14
3,2015,3,28,µÎ»ê,1,0,0,0,8.0,4.0,0.0,2.00,0.29,0.368,0.29,0.659,1.44,0.36,71.4,4.0,0.2,3.56,3.52,0.27
4,2015,3,28,·Ôµ¥,1,0,0,0,8.0,8.0,2.0,1.00,0.4,0.511,0.6,1.111,2.44,0.462,69.3,9.0,-0.03,7.78,7.96,0.01
5,2015,3,28,LG,1,1,0,0,5.62,3.38,1.12,1.67,0.267,0.324,0.467,0.79,1.38,0.28,83.3,3.38,0.23,5.17,5.3,0.05
6,2015,3,28,ÇÑÈ­,1,1,0,0,5.56,4.76,1.59,1.17,0.2,0.304,0.4,0.7040000000000001,1.24,0.19399999999999998,80.4,3.97,0.57,6.32,6.53,0.09
7,2015,3,28,NC,1,0,0,0,3.38,6.75,2.25,0.50,0.34299999999999997,0.429,0.5710000000000001,1.0,2.25,0.32299999999999995,59.2,6.75,-0.1,8.05,8.54,-0.21
8,2015,3,28,SK,1,0,0,0,5.62,4.5,0.0,1.25,0.342,0.405,0.42100000000000004,0.826,2.12,0.39399999999999996,64.7,6.75,-0.05,3.92,4.1,0.15
9,2015,3,28,KT,1,0,0,0,9.0,3.38,2.25,2.67,0.37799999999999995,0.439,0.6759999999999999,1.115,2.12,0.444,39.5,12.38,-0.35,6.42,6.26,0.06
10,2015,3,29,µÎ»ê,1,1,0,0,1.0,2.0,0.0,0.50,0.25,0.289,0.33299999999999996,0.623,1.22,0.257,90.9,1.0,0.57,4.12,4.67,0.12
11,2015,3,29,ÇÑÈ­,1,0,0,0,7.0,4.0,0.0,1.75,0.212,0.33299999999999996,0.273,0.606,1.22,0.26899999999999996,76.9,3.0,0.51,4.12,4.24,0.13
12,2015,3,29,SK,1,0,0,0,4.0,5.0,1.0,0.80,0.235,0.35,0.324,0.674,1.44,0.24100000000000002,87.3,3.0,0.33,6.23,6.68,-0.05
13,2015,3,29,·Ôµ¥,1,1,0,0,6.0,6.0,0.0,1.00,0.235,0.35,0.294,0.644,1.56,0.28600000000000003,71.4,4.0,0.36,3.67,3.78,0.26
14,2015,3,29,KIA,1,0,0,0,6.0,3.0,0.0,2.00,0.385,0.419,0.513,0.9309999999999999,2.0,0.441,66.7,6.0,0.35,3.34,3.4,0.22
15,2015,3,29,NC,1,1,0,0,2.25,0.0,2.25,-,0.24100000000000002,0.24100000000000002,0.44799999999999995,0.69,0.88,0.2,71.4,4.5,0.17,6.42,6.75,0.0
16,2015,3,29,Hero,1,0,0,0,9.0,6.0,1.0,1.50,0.281,0.425,0.43799999999999994,0.862,1.67,0.364,76.9,5.0,0.18,5.78,5.8,0.02
17,2015,3,29,KT,1,0,0,0,9.0,10.12,2.25,0.89,0.207,0.41,0.44799999999999995,0.8590000000000001,1.88,0.21100000000000002,83.3,5.62,0.03,8.67,8.86,-0.21
18,2015,3,29,»ï¼º,1,0,0,0,5.0,4.0,1.0,1.25,0.273,0.342,0.424,0.7659999999999999,1.44,0.28600000000000003,51.7,7.0,-0.06,5.34,5.56,0.02
19,2015,3,29,LG,1,0,0,0,2.25,6.75,3.38,0.33,0.3,0.43200000000000005,0.633,1.0659999999999998,1.88,0.24,76.3,7.88,0.15,10.67,11.43,-0.3
20,2015,3,31,·Ôµ¥,1,1,0,0,6.43,3.86,0.0,1.67,0.231,0.31,0.26899999999999996,0.58,1.29,0.28600000000000003,88.9,1.29,0.43,3.53,3.59,0.22
21,2015,3,31,»ï¼º,1,0,0,0,8.0,5.0,0.0,1.60,0.212,0.33299999999999996,0.33299999999999996,0.667,1.33,0.28,53.8,6.0,0.12,3.89,3.9,0.19
22,2015,3,31,KT,1,0,0,0,6.0,1.0,2.0,6.00,0.366,0.381,0.634,1.015,1.78,0.39399999999999996,60.6,7.0,-0.1,5.56,5.53,0.04
23,2015,3,31,LG,1,0,0,0,14.09,5.87,1.17,2.40,0.303,0.395,0.424,0.8190000000000001,1.96,0.45,58.8,8.22,-0.08,3.8,3.07,0.18
24,2015,4,1,KIA,1,1,0,0,10.0,3.0,0.0,3.33,0.14300000000000002,0.226,0.14300000000000002,0.369,0.78,0.222,100.0,0.0,0.69,2.45,2.07,0.4
25,2015,4,1,LG,1,0,0,0,8.1,2.7,0.9,3.00,0.21100000000000002,0.268,0.368,0.637,1.1,0.25,93.8,0.9,0.56,4.07,3.89,0.17
26,2015,4,1,NC,1,1,0,0,6.0,1.0,0.0,6.00,0.19399999999999998,0.235,0.226,0.461,0.78,0.231,62.5,1.0,0.28,3.0,3.02,0.27
27,2015,4,1,»ï¼º,1,1,0,0,15.0,1.0,0.0,15.00,0.263,0.282,0.316,0.598,1.22,0.435,90.9,1.0,0.59,0.67,-0.36,0.62
28,2015,4,1,µÎ»ê,1,1,0,0,9.0,2.0,0.0,4.50,0.212,0.25,0.212,0.462,1.0,0.28,66.7,2.0,0.53,2.34,2.02,0.4
29,2015,4,1,SK,1,0,0,0,12.0,5.0,0.0,2.40,0.156,0.27,0.188,0.45799999999999996,1.11,0.25,70.0,2.0,0.28,2.67,2.18,0.3
30,2015,4,1,·Ôµ¥,1,0,0,0,7.45,7.45,0.0,1.00,0.273,0.405,0.303,0.708,1.76,0.34600000000000003,82.4,2.79,0.5,4.19,4.27,0.28
31,2015,4,1,KT,1,0,0,0,4.0,4.0,1.0,1.00,0.281,0.361,0.469,0.83,1.44,0.29600000000000004,69.0,5.0,0.07,5.56,5.9,0.03
32,2015,4,1,ÇÑÈ­,1,0,0,0,6.0,10.0,2.0,0.60,0.242,0.409,0.515,0.924,2.0,0.231,78.9,6.0,0.07,8.56,9.0,-0.16
33,2015,4,1,Hero,1,0,0,0,6.75,1.12,3.38,6.00,0.439,0.455,0.732,1.186,2.38,0.455,63.3,7.88,-0.26,7.8,7.77,-0.13
34,2015,4,2,ÇÑÈ­,1,0,0,0,10.0,2.0,0.0,5.00,0.156,0.22899999999999998,0.156,0.385,0.78,0.22699999999999998,75.0,0.0,0.48,2.45,2.08,0.38
35,2015,4,2,µÎ»ê,1,0,0,0,12.38,12.38,0.0,1.00,0.25,0.462,0.28600000000000003,0.747,2.25,0.41200000000000003,77.8,4.5,0.13,5.05,4.9,-0.01
36,2015,4,3,·Ôµ¥,1,1,0,0,7.0,0.0,0.0,-,0.188,0.188,0.188,0.375,0.67,0.24,100.0,0.0,0.78,2.12,1.91,0.42
37,2015,4,3,KIA,1,1,0,0,9.0,4.0,0.0,2.25,0.16699999999999998,0.28600000000000003,0.267,0.552,1.0,0.23800000000000002,100.0,0.0,0.71,3.34,3.18,0.32
38,2015,4,3,»ï¼º,1,1,0,0,7.2,2.7,0.0,2.67,0.2,0.31,0.314,0.624,1.0,0.25,76.9,0.9,0.75,3.57,3.61,0.31
39,2015,4,3,Hero,1,1,0,0,13.0,4.0,2.0,3.25,0.188,0.278,0.43799999999999994,0.715,1.11,0.235,97.2,3.0,0.44,5.0,4.36,0.27
40,2015,4,3,NC,1,0,0,0,8.0,2.0,1.0,4.00,0.25,0.359,0.43799999999999994,0.7959999999999999,1.11,0.292,63.5,6.0,0.16,5.34,5.38,0.09
41,2015,4,3,KT,1,0,0,0,8.0,6.0,2.0,1.33,0.34299999999999997,0.439,0.5710000000000001,1.01,2.0,0.4,85.5,5.0,0.13,6.78,6.79,-0.02
42,2015,4,3,µÎ»ê,1,1,0,0,9.0,3.38,1.12,2.67,0.276,0.33299999999999996,0.586,0.92,1.38,0.33299999999999996,62.5,5.62,0.36,4.42,4.18,0.36
43,2015,4,3,LG,1,1,0,0,2.7,1.8,1.8,1.50,0.243,0.282,0.45899999999999996,0.742,1.1,0.21899999999999997,48.8,6.3,-0.24,5.97,6.29,0.0
44,2015,4,3,ÇÑÈ­,1,0,0,0,5.62,7.88,1.12,0.71,0.33299999999999996,0.46299999999999997,0.424,0.888,2.25,0.37,45.5,11.25,-0.28,7.05,7.48,-0.05
45,2015,4,3,SK,1,0,0,0,9.0,6.75,3.38,1.33,0.41,0.5,0.769,1.2690000000000001,2.75,0.46399999999999997,47.9,15.75,-0.41,9.17,9.19,-0.09
46,2015,4,4,KIA,1,1,0,0,3.0,3.0,0.0,1.00,0.257,0.316,0.34299999999999997,0.659,1.33,0.281,83.3,2.0,0.45,4.0,4.39,0.15
47,2015,4,4,LG,1,1,0,0,11.0,6.0,1.0,1.83,0.038,0.242,0.154,0.396,0.78,0.0,90.9,2.0,0.57,5.0,4.74,0.18
48,2015,4,4,SK,1,0,0,0,9.0,3.0,0.0,3.00,0.212,0.278,0.33299999999999996,0.611,1.11,0.292,60.0,3.0,0.18,2.67,2.4,0.24
49,2015,4,4,»ï¼º,1,1,0,0,5.62,2.25,0.0,2.50,0.3,0.344,0.33299999999999996,0.677,1.38,0.36,72.7,3.38,0.24,3.17,3.23,0.24
50,2015,4,4,KT,1,0,0,0,10.0,4.0,2.0,2.50,0.33299999999999996,0.391,0.5,0.8909999999999999,2.0,0.4,52.6,8.0,-0.14,5.67,5.36,0.08
51,2015,4,4,Hero,1,0,0,0,9.0,7.0,1.0,1.29,0.289,0.4,0.42100000000000004,0.821,2.0,0.35700000000000004,48.2,10.0,-0.31,5.45,5.4,-0.02
52,2015,4,5,NC,1,1,0,0,6.0,0.0,0.0,-,0.242,0.242,0.273,0.515,0.89,0.29600000000000004,75.0,1.0,0.43,2.34,2.24,0.31
53,2015,4,5,KIA,1,0,0,0,5.0,2.0,0.0,2.50,0.2,0.25,0.267,0.517,0.89,0.24,87.5,1.0,0.57,3.23,3.34,0.22
54,2015,4,5,·Ôµ¥,1,0,0,0,7.0,1.0,1.0,7.00,0.22899999999999998,0.25,0.314,0.564,1.0,0.259,65.8,3.0,0.28,3.89,3.74,0.17
55,2015,4,5,LG,1,0,0,0,8.0,7.0,0.0,1.14,0.14300000000000002,0.306,0.14300000000000002,0.44799999999999995,1.22,0.19,54.5,5.0,0.08,4.23,4.28,0.03
56,2015,4,5,SK,1,0,0,0,9.0,3.0,3.0,3.00,0.35100000000000003,0.395,0.703,1.0979999999999999,1.78,0.37,78.1,7.0,0.02,7.34,7.15,0.07
57,2015,4,5,KT,1,1,0,0,5.0,9.0,0.0,0.56,0.258,0.425,0.32299999999999995,0.748,1.89,0.308,76.5,2.0,0.24,5.56,6.04,0.0
58,2015,4,5,»ï¼º,1,1,0,0,7.27,2.08,0.0,3.50,0.353,0.385,0.41200000000000003,0.7959999999999999,1.62,0.414,60.0,5.19,-0.15,3.09,3.03,0.32
59,2015,4,5,ÇÑÈ­,1,0,0,0,6.75,2.25,3.38,3.00,0.33299999999999996,0.405,0.636,1.042,1.62,0.33299999999999996,55.6,10.12,-0.15,8.55,8.64,-0.1
60,2015,4,5,Hero,1,0,0,0,9.0,8.0,2.0,1.12,0.33299999999999996,0.45799999999999996,0.564,1.022,2.33,0.39299999999999996,46.9,12.0,-0.39,7.56,7.63,-0.12
61,2015,4,5,µÎ»ê,1,0,0,0,11.25,12.38,4.5,0.91,0.37799999999999995,0.521,0.784,1.305,3.12,0.435,46.4,16.88,-0.36,11.8,11.8,-0.26
62,2015,4,7,»ï¼º,1,1,0,0,10.0,3.0,1.0,3.33,0.138,0.21899999999999997,0.276,0.495,0.78,0.16699999999999998,107.1,1.0,0.61,3.89,3.52,0.24
63,2015,4,7,SK,1,0,0,0,12.0,4.0,1.0,3.00,0.294,0.368,0.441,0.81,1.56,0.429,95.2,2.0,0.52,3.78,3.24,0.23
64,2015,4,7,NC,1,1,0,0,9.0,1.0,1.0,9.00,0.19399999999999998,0.235,0.32299999999999995,0.5579999999999999,0.78,0.22699999999999998,75.8,2.0,0.39,3.78,3.48,0.28
65,2015,4,7,ÇÑÈ­,1,0,0,0,12.27,6.55,0.82,1.88,0.25,0.375,0.325,0.7,1.64,0.375,90.4,2.45,0.72,4.31,3.87,0.27
66,2015,4,7,Hero,1,1,0,0,9.0,1.0,0.0,9.00,0.294,0.314,0.382,0.6970000000000001,1.22,0.4,63.6,4.0,0.22,2.0,1.63,0.46
67,2015,4,7,·Ôµ¥,1,0,0,0,10.12,5.62,1.12,1.80,0.258,0.35100000000000003,0.387,0.738,1.62,0.318,86.2,3.38,0.2,4.92,4.67,0.1
68,2015,4,7,KT,1,0,0,0,5.62,7.88,0.0,0.71,0.31,0.444,0.345,0.789,2.0,0.375,81.2,3.38,0.22,4.67,4.97,0.08
69,2015,4,7,LG,1,0,0,0,5.23,6.97,0.0,0.75,0.359,0.479,0.385,0.8640000000000001,2.13,0.424,82.6,3.48,0.48,4.54,4.86,0.12
70,2015,4,7,KIA,1,0,0,0,8.0,4.0,1.0,2.00,0.22899999999999998,0.341,0.457,0.799,1.33,0.26899999999999996,71.4,5.0,0.08,5.0,4.98,0.06
71,2015,4,7,µÎ»ê,1,0,0,0,10.0,2.0,4.0,5.00,0.519,0.537,0.885,1.422,3.22,0.605,51.3,16.0,-0.55,7.89,7.49,-0.05
72,2015,4,8,»ï¼º,1,1,0,0,13.0,2.0,0.0,6.50,0.258,0.306,0.258,0.564,1.11,0.4,81.8,0.0,0.68,1.78,1.09,0.58
73,2015,4,8,SK,1,1,0,0,11.0,2.0,0.0,5.50,0.156,0.20600000000000002,0.188,0.39299999999999996,0.78,0.23800000000000002,85.7,1.0,0.7,1.89,1.35,0.49
