,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
0,2015,김하성,키움,유격수,140,139,1209.3333333333333,21,0,212,408,87,0.967,0,0,0,0.0,0.29,582,511,89,148,35,5,19,250,73,4,6
1,2015,박병호,키움,1루수,131,131,1124.3333333333333,12,0,1113,93,103,0.99,0,0,0,0.0,0.343,622,528,129,181,35,1,53,377,146,0,4
2,2015,박동원,키움,포수,126,122,1012.0,10,6,858,96,10,0.99,9,75,32,29.9,0.266,443,379,47,101,12,1,14,157,61,10,8
3,2015,유한준,키움,우익수,81,68,570.6666666666666,2,0,126,0,0,0.984,0,0,0,0.0,0.362,598,520,103,188,42,1,23,301,116,1,8
4,2015,유한준,키움,중견수,70,61,530.0,0,0,122,4,0,1.0,0,0,0,0.0,0.362,598,520,103,188,42,1,23,301,116,1,8
5,2015,이택근,키움,중견수,81,72,621.6666666666666,0,0,128,3,0,1.0,0,0,0,0.0,0.326,401,347,61,113,16,1,10,161,44,3,4
6,2015,서건창,키움,2루수,72,67,566.0,11,0,148,174,49,0.967,0,0,0,0.0,0.298,368,312,52,93,24,4,3,134,37,11,2
7,2015,윤석민,키움,3루수,72,64,560.3333333333334,11,0,49,110,17,0.935,0,0,0,0.0,0.294,418,361,54,106,24,1,14,174,71,5,7
8,2015,윤석민,키움,1루수,8,7,61.0,1,0,52,5,4,0.983,0,0,0,0.0,0.294,418,361,54,106,24,1,14,174,71,5,7
9,2015,김민성,키움,3루수,69,62,547.6666666666666,4,0,57,111,11,0.977,0,0,0,0.0,0.303,489,445,60,135,24,0,16,207,71,2,3
10,2015,김민성,키움,2루수,36,32,250.0,1,0,68,98,25,0.994,0,0,0,0.0,0.303,489,445,60,135,24,0,16,207,71,2,3
11,2015,김지수,키움,2루수,67,24,273.6666666666667,1,0,62,84,25,0.993,0,0,0,0.0,0.235,151,132,23,31,7,0,0,38,13,7,1
12,2015,김지수,키움,3루수,22,5,72.66666666666667,0,0,1,15,3,1.0,0,0,0,0.0,0.235,151,132,23,31,7,0,0,38,13,7,1
13,2015,김지수,키움,유격수,16,2,53.666666666666664,1,0,7,23,3,0.968,0,0,0,0.0,0.235,151,132,23,31,7,0,0,38,13,7,1
14,2015,고종욱,키움,좌익수,66,57,481.6666666666667,3,0,104,1,0,0.972,0,0,0,0.0,0.31,443,407,81,126,25,4,10,189,51,4,1
15,2015,스나이더,키움,우익수,60,53,470.3333333333333,1,0,81,3,2,0.988,0,0,0,0.0,0.281,487,431,88,121,26,1,26,227,71,3,5
16,2015,스나이더,키움,좌익수,50,39,356.6666666666667,1,0,73,2,0,0.987,0,0,0,0.0,0.281,487,431,88,121,26,1,26,227,71,3,5
17,2015,스나이더,키움,중견수,4,1,12.0,0,0,4,0,0,1.0,0,0,0,0.0,0.281,487,431,88,121,26,1,26,227,71,3,5
18,2015,김재현,키움,포수,58,15,204.66666666666666,2,1,153,15,1,0.988,1,21,7,25.0,0.262,71,65,7,17,3,0,1,23,6,2,1
19,2015,박헌도,키움,좌익수,54,37,340.6666666666667,0,0,58,0,0,1.0,0,0,0,0.0,0.248,267,218,31,54,13,0,8,91,42,3,2
20,2015,박헌도,키움,우익수,17,7,75.0,0,0,14,0,0,1.0,0,0,0,0.0,0.248,267,218,31,54,13,0,8,91,42,3,2
21,2015,박헌도,키움,중견수,3,1,11.0,0,0,2,0,0,1.0,0,0,0,0.0,0.248,267,218,31,54,13,0,8,91,42,3,2
