,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,평균자책점,승,패,세이브,홀드,승률,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률
0,2015,조상우,키움,투수,70,0,93.33333333333333,2,1,2,10,1,0.857,0,0,0,0.0,3.09,8,5,5,19,0.615,65,4,41,6,89,36,32,1.14
1,2015,손승락,키움,투수,58,0,61.333333333333336,1,0,5,16,0,0.955,0,0,0,0.0,3.82,4,6,23,0,0.4,73,6,13,3,63,35,26,1.4
2,2015,김영민,키움,투수,57,4,90.33333333333333,1,0,1,12,1,0.929,0,0,0,0.0,4.38,4,5,0,6,0.444,90,14,28,7,85,47,44,1.31
3,2015,김대우,키움,투수,47,1,71.0,0,0,6,5,0,1.0,0,0,0,0.0,4.94,6,3,1,4,0.667,81,8,31,6,63,44,39,1.58
4,2015,한현희,키움,투수,45,17,123.33333333333333,2,1,8,16,0,0.923,0,0,0,0.0,4.82,11,4,0,10,0.733,126,14,41,13,122,70,66,1.35
5,2015,김택형,키움,투수,37,10,58.0,1,0,5,8,0,0.929,0,0,0,0.0,7.91,4,4,0,2,0.5,79,7,42,6,55,58,51,2.09
6,2015,문성현,키움,투수,34,13,91.66666666666667,0,0,8,6,0,1.0,0,0,0,0.0,6.28,0,5,0,1,0.0,114,10,39,5,58,75,64,1.67
7,2015,밴헤켄,키움,투수,32,32,196.66666666666666,3,1,11,23,0,0.919,0,0,0,0.0,3.62,15,8,0,0,0.652,190,14,67,1,193,92,79,1.31
8,2015,피어밴드,키움,투수,30,30,177.33333333333334,4,13,1,44,1,0.918,0,0,0,0.0,4.67,13,11,0,0,0.542,202,23,61,12,137,101,92,1.48
9,2015,이상민,키움,투수,23,0,19.333333333333332,0,0,0,4,0,1.0,0,0,0,0.0,10.71,0,1,0,1,0.0,29,4,10,3,12,23,23,2.02
10,2015,김동준,키움,투수,22,5,50.333333333333336,1,1,4,8,0,0.923,0,0,0,0.0,6.44,1,1,0,0,0.5,56,7,30,3,32,41,36,1.71
11,2015,송신영,키움,투수,18,16,69.0,0,0,3,8,1,1.0,0,0,0,0.0,5.35,7,4,0,0,0.636,77,12,22,2,46,42,41,1.43
12,2015,하영민,키움,투수,18,2,34.666666666666664,0,0,2,8,1,1.0,0,0,0,0.0,7.53,2,0,0,0,1.0,48,7,12,2,25,30,29,1.73
13,2015,양훈,키움,투수,16,3,38.333333333333336,0,0,1,5,1,1.0,0,0,0,0.0,1.41,2,1,0,0,0.667,33,1,14,0,15,9,6,1.23
14,2015,김정훈,키움,투수,13,1,15.333333333333334,1,0,2,1,0,0.75,0,0,0,0.0,7.04,0,2,0,1,0.0,20,2,10,3,11,14,12,1.96
15,2015,오재영,키움,투수,9,4,18.333333333333332,0,0,1,2,0,1.0,0,0,0,0.0,9.33,0,2,0,0,0.0,31,4,12,1,11,19,19,2.35
16,2015,금민철,키움,투수,7,5,22.0,0,0,3,2,0,1.0,0,0,0,0.0,4.5,1,1,0,0,0.5,25,2,14,2,11,11,11,1.77
17,2015,배힘찬,키움,투수,7,0,6.666666666666667,0,0,1,0,0,1.0,0,0,0,0.0,6.75,0,1,0,0,0.0,10,1,6,0,1,7,5,2.4
18,2015,함덕주,두산,투수,68,0,61.666666666666664,0,0,2,9,0,1.0,0,0,0,0.0,3.65,7,2,2,16,0.778,52,4,46,2,76,30,25,1.59
19,2015,오현택,두산,투수,61,0,56.0,1,0,5,9,0,0.933,0,0,0,0.0,5.3,1,3,0,13,0.25,59,6,16,4,45,33,33,1.34
20,2015,윤명준,두산,투수,60,0,68.0,0,1,3,9,1,1.0,0,0,0,0.0,3.97,4,6,6,7,0.4,72,9,30,5,48,33,30,1.5
21,2015,이현호,두산,투수,49,7,86.0,2,0,6,10,0,0.889,0,0,0,0.0,4.19,6,1,0,2,0.857,83,8,35,4,87,43,40,1.37
22,2015,노경은,두산,투수,47,0,58.333333333333336,1,1,5,8,0,0.929,0,0,0,0.0,4.47,1,4,4,0,0.2,57,6,37,5,41,33,29,1.61
23,2015,진야곱,두산,투수,47,14,102.66666666666667,1,0,6,14,1,0.952,0,0,0,0.0,7.01,5,9,0,4,0.357,120,12,68,3,108,88,80,1.83
24,2015,이현승,두산,투수,41,0,46.666666666666664,1,0,2,7,1,0.9,0,0,0,0.0,2.89,3,1,18,2,0.75,45,3,10,2,41,16,15,1.18
25,2015,이재우,두산,투수,37,1,46.0,0,0,0,7,0,1.0,0,0,0,0.0,6.26,0,2,0,9,0.0,44,9,28,5,47,33,32,1.57
26,2015,유희관,두산,투수,30,30,189.66666666666666,0,1,10,38,3,1.0,0,0,0,0.0,3.94,18,5,0,0,0.783,193,23,44,4,126,84,83,1.25
27,2015,장원준,두산,투수,30,30,169.66666666666666,0,0,6,31,2,1.0,0,0,0,0.0,4.08,12,12,0,0,0.5,182,13,68,14,128,86,77,1.47
28,2015,니퍼트,두산,투수,20,16,90.0,1,0,6,17,0,0.958,0,0,0,0.0,5.1,6,5,0,0,0.545,104,4,33,4,76,54,51,1.52
29,2015,스와잭,두산,투수,20,17,92.33333333333333,4,0,3,12,0,0.789,0,0,0,0.0,5.26,5,7,0,1,0.417,110,9,30,4,72,57,54,1.52
30,2015,김명성,두산,투수,17,0,17.333333333333332,0,0,1,2,0,1.0,0,0,0,0.0,7.79,1,0,0,0,1.0,27,2,11,1,10,15,15,2.19
31,2015,김강률,두산,투수,16,0,14.666666666666666,0,0,1,5,0,1.0,0,0,0,0.0,2.45,3,1,0,3,0.75,14,1,10,0,7,5,4,1.64
32,2015,허준혁,두산,투수,16,14,63.0,0,0,1,7,0,1.0,0,0,0,0.0,3.57,3,2,0,0,0.6,52,7,41,6,45,37,25,1.48
33,2015,마야,두산,투수,13,13,68.33333333333333,1,0,5,13,1,0.947,0,0,0,0.0,8.17,2,5,0,0,0.286,83,6,31,5,62,62,62,1.67
34,2015,이원재,두산,투수,12,0,10.666666666666666,0,0,1,2,0,1.0,0,0,0,0.0,12.66,1,0,0,0,1.0,21,2,12,1,5,15,15,3.09
35,2015,홍성민,롯데,투수,67,0,82.0,0,0,2,7,1,1.0,0,0,0,0.0,3.95,4,4,1,8,0.5,85,8,24,10,65,38,36,1.33
36,2015,이성민,롯데,투수,61,0,72.66666666666667,1,0,5,14,1,0.95,0,0,0,0.0,4.58,5,7,4,7,0.417,92,11,33,4,58,44,37,1.72
37,2015,이명우,롯데,투수,59,5,59.0,0,0,1,24,4,1.0,0,0,0,0.0,5.64,2,1,0,6,0.667,78,5,20,2,34,44,37,1.66
38,2015,강영식,롯데,투수,50,0,38.666666666666664,0,1,0,6,0,1.0,0,0,0,0.0,4.19,2,1,2,6,0.667,40,6,10,0,46,21,18,1.29
39,2015,김성배,롯데,투수,45,0,39.666666666666664,0,0,2,5,0,1.0,0,0,0,0.0,7.71,2,3,1,5,0.4,51,2,19,2,33,34,34,1.76
40,2015,김승회,롯데,투수,39,7,75.0,0,0,5,7,0,1.0,0,0,0,0.0,6.24,7,3,2,2,0.7,96,13,28,4,50,52,52,1.65
41,2015,심수창,롯데,투수,39,6,73.33333333333333,0,0,1,6,0,1.0,0,0,0,0.0,6.01,4,6,5,3,0.4,99,9,29,3,76,56,49,1.75
42,2015,이정민,롯데,투수,34,0,44.666666666666664,2,0,5,5,1,0.833,0,0,0,0.0,5.84,1,4,1,5,0.2,59,4,31,2,36,34,29,2.01
43,2015,린드블럼,롯데,투수,32,32,210.0,0,2,11,30,2,1.0,0,0,0,0.0,3.56,13,11,0,0,0.542,196,28,52,12,180,86,83,1.18
44,2015,레일리,롯데,투수,31,30,179.33333333333334,1,1,13,39,4,0.981,0,0,0,0.0,3.91,11,9,0,0,0.55,182,20,57,15,134,93,78,1.33
45,2015,박세웅,롯데,투수,31,21,114.0,3,1,3,17,0,0.87,0,0,0,0.0,5.76,2,11,0,0,0.154,129,16,54,12,82,81,73,1.61
46,2015,송승준,롯데,투수,25,23,125.0,3,2,7,12,1,0.864,0,0,0,0.0,4.75,8,7,0,0,0.533,131,17,46,4,112,71,66,1.42
47,2015,정대현,롯데,투수,19,0,18.333333333333332,0,0,0,1,0,1.0,0,0,0,0.0,2.95,2,1,3,3,0.667,16,3,7,2,17,6,6,1.25
48,2015,심규범,롯데,투수,16,0,6.333333333333333,0,0,0,2,0,1.0,0,0,0,0.0,7.11,0,1,0,1,0.0,7,1,6,0,6,5,5,2.05
49,2015,이상화,롯데,투수,14,12,55.0,0,0,10,10,0,1.0,0,0,0,0.0,6.55,3,8,0,0,0.273,69,7,25,1,35,43,40,1.71
50,2015,구승민,롯데,투수,11,3,29.0,0,0,5,1,1,1.0,0,0,0,0.0,10.24,0,2,0,0,0.0,46,9,9,2,20,33,33,1.9
51,2015,배장호,롯데,투수,9,5,28.666666666666668,1,0,2,4,0,0.857,0,0,0,0.0,6.59,0,2,0,0,0.0,35,5,10,5,9,21,21,1.57
52,2015,이재곤,롯데,투수,5,5,13.0,0,0,1,1,1,1.0,0,0,0,0.0,6.23,0,2,0,0,0.0,15,1,18,4,9,10,9,2.54
53,2015,박근홍,삼성,투수,66,0,48.666666666666664,1,0,1,7,0,0.889,0,0,0,0.0,2.96,2,2,0,8,0.5,39,3,24,6,55,20,16,1.29
54,2015,안지만,삼성,투수,66,0,78.33333333333333,0,3,4,15,4,1.0,0,0,0,0.0,3.33,4,3,0,37,0.571,76,8,26,2,96,29,29,1.3
55,2015,심창민,삼성,투수,61,0,67.33333333333333,0,0,0,6,1,1.0,0,0,0,0.0,4.28,6,3,0,9,0.667,54,7,24,5,91,32,32,1.16
56,2015,임창용,삼성,투수,55,0,54.0,0,0,3,10,1,1.0,0,0,0,0.0,2.83,5,2,33,0,0.714,45,2,13,3,71,17,17,1.07
57,2015,신용운,삼성,투수,35,0,25.666666666666668,0,0,1,3,0,1.0,0,0,0,0.0,7.01,1,1,0,2,0.5,35,2,16,2,22,23,20,1.99
58,2015,차우찬,삼성,투수,31,29,173.0,1,3,10,35,1,0.978,0,0,0,0.0,4.79,13,7,0,1,0.65,160,28,74,5,194,98,92,1.35
59,2015,윤성환,삼성,투수,30,30,194.0,1,0,6,16,1,0.957,0,0,0,0.0,3.76,17,8,0,0,0.68,199,27,30,10,164,86,81,1.18
60,2015,클로이드,삼성,투수,28,28,159.66666666666666,3,1,5,21,3,0.897,0,0,0,0.0,5.19,11,11,0,0,0.5,190,24,38,12,123,103,92,1.43
61,2015,장원삼,삼성,투수,26,25,136.66666666666666,1,0,2,14,0,0.941,0,0,0,0.0,5.8,10,9,0,0,0.526,151,29,50,1,107,96,88,1.47
62,2015,피가로,삼성,투수,25,25,165.0,4,1,9,18,2,0.871,0,0,0,0.0,3.38,13,7,0,0,0.65,154,16,51,7,117,66,62,1.24
63,2015,김기태,삼성,투수,23,0,29.333333333333332,1,0,0,2,0,0.667,0,0,0,0.0,7.06,3,0,0,0,1.0,36,11,10,0,23,25,23,1.57
64,2015,김건한,삼성,투수,16,1,16.333333333333332,0,0,0,5,0,1.0,0,0,0,0.0,6.06,1,1,0,0,0.5,26,1,8,1,6,11,11,2.08
65,2015,정인욱,삼성,투수,12,4,29.333333333333332,0,0,2,1,0,1.0,0,0,0,0.0,8.28,2,2,1,0,0.5,40,5,16,2,29,27,27,1.91
66,2015,권혁,한화,투수,78,0,112.0,1,1,2,18,1,0.952,0,0,0,0.0,4.98,9,13,17,6,0.409,124,15,53,5,88,68,62,1.58
67,2015,박정진,한화,투수,76,0,96.0,2,0,3,8,1,0.846,0,0,0,0.0,3.09,6,1,1,15,0.857,84,8,39,5,92,37,33,1.28
68,2015,송창식,한화,투수,64,10,109.0,1,1,7,10,0,0.944,0,0,0,0.0,6.44,8,7,0,11,0.533,115,29,64,7,87,82,78,1.64
69,2015,김기현,한화,투수,54,0,41.333333333333336,0,0,1,3,0,1.0,0,0,0,0.0,4.35,1,0,0,3,1.0,36,5,30,3,32,20,20,1.6
70,2015,정대훈,한화,투수,51,0,36.0,0,0,3,7,2,1.0,0,0,0,0.0,4.75,1,1,0,2,0.5,44,4,14,5,12,21,19,1.61
71,2015,윤규진,한화,투수,40,0,50.666666666666664,0,1,1,7,0,1.0,0,0,0,0.0,2.66,3,2,10,3,0.6,39,3,21,0,48,15,15,1.18
