,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
6,2015,서건창,키움,2루수,72,67,566.0,11,0,148,174,49,0.9670000000000001,0,0,0,0.0,0.298,368,312,52,93,24,4,3,134,37,11,2
10,2015,김민성,키움,2루수,36,32,250.0,1,0,68,98,25,0.9940000000000001,0,0,0,0.0,0.303,489,445,60,135,24,0,16,207,71,2,3
11,2015,김지수,키움,2루수,67,24,273.6666666666667,1,0,62,84,25,0.993,0,0,0,0.0,0.235,151,132,23,31,7,0,0,38,13,7,1
22,2015,서동욱,키움,2루수,33,16,163.33333333333334,2,0,41,56,14,0.98,0,0,0,0.0,0.233,118,103,14,24,5,0,3,38,15,1,0
38,2015,송성문,키움,2루수,5,5,27.0,2,0,7,8,2,0.882,0,0,0,0.0,0.25,12,12,0,3,0,0,0,3,1,0,0
47,2015,오재원,두산,2루수,114,110,937.6666666666665,8,0,238,278,73,0.985,0,0,0,0.0,0.28,474,411,60,115,20,2,11,172,59,7,4
50,2015,허경민,두산,2루수,7,5,46.0,1,0,9,16,4,0.9620000000000001,0,0,0,0.0,0.317,453,404,64,128,20,2,1,155,41,8,3
54,2015,최주환,두산,2루수,35,23,217.66666666666663,3,0,56,70,21,0.977,0,0,0,0.0,0.282,270,238,34,67,16,2,5,102,32,3,1
64,2015,고영민,두산,2루수,11,5,56.66666666666666,2,0,15,16,5,0.9390000000000001,0,0,0,0.0,0.32799999999999996,77,67,13,22,1,0,3,32,11,0,1
69,2015,양종민,두산,2루수,9,1,24.0,0,0,5,7,2,1.0,0,0,0,0.0,0.125,18,16,6,2,0,0,1,5,2,0,0
73,2015,류지혁,두산,2루수,3,0,4.0,0,0,2,4,2,1.0,0,0,0,0.0,0.2,5,5,3,1,0,0,0,1,0,0,0
79,2015,정훈,롯데,2루수,129,127,1060.3333333333333,17,0,258,332,83,0.972,0,0,0,0.0,0.3,562,486,85,146,27,2,9,204,62,7,3
94,2015,오승택,롯데,2루수,21,8,93.66666666666669,0,0,23,29,5,1.0,0,0,0,0.0,0.275,353,327,57,90,18,1,8,134,43,4,1
96,2015,김대륙,롯데,2루수,18,0,23.66666666666667,0,0,6,11,4,1.0,0,0,0,0.0,0.14800000000000002,63,54,6,8,0,0,0,8,1,2,0
106,2015,손용석,롯데,2루수,6,5,39.0,0,0,9,21,5,1.0,0,0,0,0.0,0.217,74,69,4,15,2,0,0,17,2,4,0
108,2015,오윤석,롯데,2루수,11,2,41.0,0,0,12,8,3,1.0,0,0,0,0.0,0.273,36,33,7,9,1,0,1,13,3,1,0
121,2015,김상수,삼성,2루수,1,0,1.0,0,0,1,0,0,1.0,0,0,0,0.0,0.278,518,449,67,125,30,4,8,187,63,13,7
122,2015,나바로,삼성,2루수,126,124,1058.3333333333333,12,0,268,293,74,0.9790000000000001,0,0,0,0.0,0.287,643,534,126,153,19,1,48,318,137,1,9
136,2015,백상원,삼성,2루수,33,16,156.0,4,0,18,44,7,0.9390000000000001,0,0,0,0.0,0.247,94,77,10,19,5,0,0,24,7,2,1
141,2015,김재현,삼성,2루수,17,3,47.66666666666666,0,0,8,9,1,1.0,0,0,0,0.0,0.171,48,41,7,7,0,0,0,7,5,2,0
153,2015,윤영수,삼성,2루수,2,0,3.333333333333333,0,0,2,2,1,1.0,0,0,0,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0
154,2015,김태완,삼성,2루수,1,1,9.0,0,0,0,6,0,1.0,0,0,0,0.0,0.0,6,5,0,0,0,0,0,0,0,0,0
155,2015,정근우,한화,2루수,124,120,1015.3333333333335,10,0,267,367,85,0.9840000000000001,0,0,0,0.0,0.316,552,468,99,148,30,2,12,218,66,13,2
161,2015,강경학,한화,2루수,27,13,135.33333333333334,3,0,36,43,12,0.963,0,0,0,0.0,0.257,376,311,50,80,7,4,2,101,27,17,3
187,2015,이시찬,한화,2루수,14,9,90.66666666666669,1,0,20,31,6,0.981,0,0,0,0.0,0.281,72,64,7,18,1,0,0,19,6,1,2
199,2015,필,KIA,2루수,15,1,31.33333333333333,0,0,6,6,1,1.0,0,0,0,0.0,0.325,591,536,81,174,35,1,22,277,101,0,9
205,2015,김민우,KIA,2루수,83,69,554.6666666666666,2,0,143,208,49,0.9940000000000001,0,0,0,0.0,0.26,315,269,28,70,16,1,6,106,34,21,3
211,2015,박찬호,KIA,2루수,14,2,39.0,1,0,13,9,4,0.9570000000000001,0,0,0,0.0,0.182,150,137,13,25,5,1,0,32,6,4,0
212,2015,최용규,KIA,2루수,60,48,403.66666666666674,4,0,106,135,36,0.9840000000000001,0,0,0,0.0,0.225,200,182,23,41,4,3,2,57,18,1,2
223,2015,박기남,KIA,2루수,21,8,85.33333333333333,0,0,25,27,10,1.0,0,0,0,0.0,0.203,93,69,8,14,3,0,0,17,3,3,0
233,2015,고영우,KIA,2루수,15,6,54.66666666666666,1,0,13,19,5,0.97,0,0,0,0.0,0.154,57,52,17,8,2,0,1,13,4,1,0
242,2015,박경수,KT,2루수,134,131,1076.0,6,0,311,347,101,0.991,0,0,0,0.0,0.284,537,440,75,125,30,1,22,223,73,6,4
247,2015,박기혁,KT,2루수,13,2,30.0,0,0,6,11,4,1.0,0,0,0,0.0,0.28,350,300,27,84,13,1,1,102,30,16,1
271,2015,박용근,KT,2루수,8,2,22.66666666666667,1,0,4,11,2,0.938,0,0,0,0.0,0.263,86,76,7,20,6,0,0,26,4,3,0
276,2015,김영환,KT,2루수,16,4,66.0,0,0,10,24,6,1.0,0,0,0,0.0,0.22899999999999998,49,48,4,11,0,0,1,14,7,0,0
283,2015,박지규,LG,2루수,92,44,459.0,2,0,99,159,48,0.992,0,0,0,0.0,0.205,189,171,22,35,8,1,0,45,12,4,1
286,2015,손주인,LG,2루수,80,69,526.6666666666666,7,0,134,193,46,0.9790000000000001,0,0,0,0.0,0.24600000000000002,279,244,27,60,9,0,0,69,14,12,1
313,2015,황목치승,LG,2루수,22,21,155.0,2,0,41,44,17,0.977,0,0,0,0.0,0.268,74,71,13,19,3,1,0,24,8,0,1
315,2015,윤진호,LG,2루수,8,0,11.0,1,0,2,5,0,0.875,0,0,0,0.0,0.083,13,12,3,1,0,0,0,1,1,1,0
316,2015,백창수,LG,2루수,18,7,70.66666666666667,3,0,22,23,8,0.938,0,0,0,0.0,0.32299999999999995,36,31,4,10,4,0,0,14,0,2,0
318,2015,장준원,LG,2루수,1,0,2.0,0,0,1,0,0,1.0,0,0,0,0.0,0.20800000000000002,26,24,2,5,0,0,0,5,1,0,1
321,2015,박성준,LG,2루수,9,3,32.0,0,0,7,9,3,1.0,0,0,0,0.0,0.2,12,10,3,2,0,0,0,2,0,0,0
326,2015,박민우,NC,2루수,141,133,1127.6666666666667,11,0,266,376,88,0.983,0,0,0,0.0,0.304,617,520,111,158,31,6,3,210,47,3,7
