,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
3,2015,유한준,키움,우익수,81,68,570.6666666666666,2,0,126,0,0,0.9840000000000001,0,0,0,0.0,0.36200000000000004,598,520,103,188,42,1,23,301,116,1,8
15,2015,스나이더,키움,우익수,60,53,470.33333333333326,1,0,81,3,2,0.988,0,0,0,0.0,0.281,487,431,88,121,26,1,26,227,71,3,5
20,2015,박헌도,키움,우익수,17,7,75.0,0,0,14,0,0,1.0,0,0,0,0.0,0.248,267,218,31,54,13,0,8,91,42,3,2
25,2015,문우람,키움,우익수,26,12,147.0,0,0,28,2,0,1.0,0,0,0,0.0,0.235,138,119,22,28,10,0,2,44,22,1,3
35,2015,임병욱,키움,우익수,4,1,15.0,0,0,2,0,0,1.0,0,0,0,0.0,0.18600000000000003,52,43,13,8,1,1,1,14,3,0,0
45,2015,민병헌,두산,우익수,114,109,926.0,3,0,203,2,1,0.986,0,0,0,0.0,0.303,561,491,80,149,20,2,12,209,75,6,6
56,2015,정진호,두산,우익수,26,13,132.66666666666666,1,0,21,3,0,0.96,0,0,0,0.0,0.23399999999999999,172,154,37,36,5,3,4,59,18,3,0
60,2015,박건우,두산,우익수,25,11,121.33333333333331,0,0,28,0,0,1.0,0,0,0,0.0,0.342,175,158,31,54,12,0,5,81,26,2,0
67,2015,장민석,두산,우익수,9,4,47.0,0,0,8,0,0,1.0,0,0,0,0.0,0.18899999999999997,63,53,15,10,2,0,0,12,4,1,1
71,2015,국해성,두산,우익수,10,6,55.0,0,0,12,3,0,1.0,0,0,0,0.0,0.2,26,20,6,4,1,0,1,8,5,1,2
80,2015,손아섭,롯데,우익수,113,109,956.3333333333335,8,0,196,6,3,0.9620000000000001,0,0,0,0.0,0.317,517,445,86,141,28,1,13,210,54,0,3
88,2015,김문호,롯데,우익수,27,21,174.33333333333337,0,0,35,1,0,1.0,0,0,0,0.0,0.306,325,288,35,88,13,0,4,113,31,6,2
101,2015,김주현,롯데,우익수,3,2,17.0,0,0,5,0,0,1.0,0,0,0,0.0,0.26,79,73,7,19,4,0,2,29,12,1,0
103,2015,임재철,롯데,우익수,14,5,56.0,0,0,14,0,0,1.0,0,0,0,0.0,0.154,63,52,6,8,2,0,1,13,3,3,0
110,2015,오현근,롯데,우익수,7,5,41.66666666666666,0,0,9,0,0,1.0,0,0,0,0.0,0.214,36,28,3,6,2,0,0,8,3,2,0
112,2015,백민기,롯데,우익수,6,2,23.0,0,0,5,0,0,1.0,0,0,0,0.0,0.0,9,7,1,0,0,0,0,0,0,0,0
114,2015,김재유,롯데,우익수,4,0,4.0,0,0,1,0,0,1.0,0,0,0,0.0,0.111,10,9,3,1,0,0,0,1,1,0,0
125,2015,박한이,삼성,우익수,93,92,786.3333333333335,2,0,170,5,1,0.9890000000000001,0,0,0,0.0,0.3,429,367,62,110,17,4,11,168,52,7,1
127,2015,구자욱,삼성,우익수,21,19,143.0,2,0,40,5,3,0.9570000000000001,0,0,0,0.0,0.349,465,410,97,143,33,5,11,219,57,0,4
134,2015,박찬도,삼성,우익수,21,4,61.66666666666666,1,0,21,0,0,0.955,0,0,0,0.0,0.213,106,89,32,19,2,1,0,23,9,5,0
142,2015,이영욱,삼성,우익수,27,3,65.0,1,0,10,0,0,0.909,0,0,0,0.0,0.22699999999999998,26,22,8,5,2,0,0,7,2,0,0
145,2015,우동균,삼성,우익수,22,16,121.33333333333331,0,0,17,0,0,1.0,0,0,0,0.0,0.20800000000000002,82,72,12,15,4,0,0,19,6,1,0
146,2015,최선호,삼성,우익수,14,9,89.0,1,0,21,0,0,0.955,0,0,0,0.0,0.16699999999999998,44,42,8,7,1,0,0,8,1,2,0
158,2015,이용규,한화,우익수,15,10,89.0,0,0,22,0,0,1.0,0,0,0,0.0,0.341,585,493,94,168,15,7,4,209,42,11,4
168,2015,김경언,한화,우익수,60,51,400.33333333333326,2,0,108,2,1,0.982,0,0,0,0.0,0.337,437,377,58,127,21,1,16,198,78,5,3
173,2015,이성열,한화,우익수,19,11,85.33333333333333,0,0,16,0,0,1.0,0,0,0,0.0,0.25,268,232,35,58,10,2,9,99,36,5,2
176,2015,송주호,한화,우익수,40,13,163.0,2,0,40,1,1,0.953,0,0,0,0.0,0.2,156,140,18,28,6,0,1,37,9,8,0
181,2015,정현석,한화,우익수,38,28,249.33333333333331,1,0,50,4,1,0.982,0,0,0,0.0,0.31,133,116,20,36,6,0,1,45,12,2,0
184,2015,장운호,한화,우익수,26,19,169.66666666666666,0,0,44,1,1,1.0,0,0,0,0.0,0.254,141,114,17,29,4,0,2,39,8,11,0
192,2015,고동진,한화,우익수,8,7,67.0,0,0,12,0,0,1.0,0,0,0,0.0,0.16899999999999998,70,59,5,10,4,0,0,14,7,5,0
196,2015,황선일,한화,우익수,7,4,40.0,0,0,5,2,0,1.0,0,0,0,0.0,0.174,25,23,1,4,2,0,0,6,2,0,0
197,2015,이종환,한화,우익수,6,1,13.0,1,0,4,0,0,0.8,0,0,0,0.0,0.29,106,100,14,29,4,0,0,33,12,0,0
204,2015,신종길,KIA,우익수,85,79,569.0,4,0,115,7,1,0.968,0,0,0,0.0,0.262,348,313,56,82,13,4,5,118,28,4,0
215,2015,김원섭,KIA,우익수,26,13,126.0,0,0,18,1,0,1.0,0,0,0,0.0,0.267,341,277,45,74,13,3,5,108,33,6,2
217,2015,나지완,KIA,우익수,17,12,101.0,1,0,17,0,0,0.9440000000000001,0,0,0,0.0,0.253,368,304,34,77,16,0,7,114,31,0,2
219,2015,김다원,KIA,우익수,38,23,189.66666666666663,1,0,33,0,0,0.971,0,0,0,0.0,0.245,274,245,31,60,9,0,5,84,30,0,2
225,2015,박준태,KIA,우익수,25,3,72.66666666666667,0,0,21,0,0,1.0,0,0,0,0.0,0.16699999999999998,88,66,15,11,2,1,0,15,4,3,0
228,2015,이호신,KIA,우익수,23,3,70.66666666666667,0,0,20,0,0,1.0,0,0,0,0.0,0.14,62,50,9,7,1,0,0,8,3,3,1
231,2015,고영우,KIA,우익수,18,0,31.33333333333333,0,0,8,0,0,1.0,0,0,0,0.0,0.154,57,52,17,8,2,0,1,13,4,1,0
241,2015,이은총,KIA,우익수,10,8,73.0,0,0,20,1,0,1.0,0,0,0,0.0,0.171,38,35,3,6,1,0,0,7,3,1,0
245,2015,이대형,KT,우익수,1,0,1.0,0,0,0,0,0,0.0,0,0,0,0.0,0.302,616,546,86,165,23,3,0,194,37,10,1
255,2015,김사연,KT,우익수,65,53,480.66666666666674,4,0,97,6,2,0.963,0,0,0,0.0,0.254,248,228,31,58,7,1,7,88,27,3,0
257,2015,하준호,KT,우익수,48,33,302.0,1,0,59,5,1,0.985,0,0,0,0.0,0.258,279,248,33,64,10,0,6,92,26,2,1
261,2015,오정복,KT,우익수,28,23,186.66666666666663,2,0,37,0,0,0.9490000000000001,0,0,0,0.0,0.259,278,239,34,62,11,1,5,90,29,2,1
264,2015,김민혁,KT,우익수,29,22,164.0,0,0,31,0,0,1.0,0,0,0,0.0,0.276,179,156,21,43,2,3,0,51,10,7,0
266,2015,김진곤,KT,우익수,18,7,74.33333333333333,0,0,16,0,0,1.0,0,0,0,0.0,0.212,87,85,11,18,1,0,0,19,6,1,0
285,2015,이진영,LG,우익수,81,71,591.3333333333334,1,0,111,2,1,0.991,0,0,0,0.0,0.256,350,301,32,77,5,1,9,111,39,2,2
297,2015,이병규,LG,우익수,10,7,63.0,0,0,12,0,0,1.0,0,0,0,0.0,0.243,277,230,42,56,9,1,12,103,35,1,0
298,2015,이병규,LG,우익수,10,7,63.0,0,0,12,0,0,1.0,0,0,0,0.0,0.21899999999999997,102,96,3,21,7,0,1,31,9,0,1
299,2015,채은성,LG,우익수,58,32,304.6666666666667,1,0,56,0,0,0.982,0,0,0,0.0,0.249,198,173,25,43,11,2,4,70,20,3,3
303,2015,임훈,LG,우익수,35,19,176.66666666666663,0,0,30,4,1,1.0,0,0,0,0.0,0.278,296,252,44,70,12,1,1,87,24,7,2
309,2015,김용의,LG,우익수,28,15,145.66666666666666,0,0,27,1,0,1.0,0,0,0,0.0,0.251,199,171,30,43,5,1,0,50,15,3,0
324,2015,나성범,NC,우익수,142,141,1192.3333333333333,6,0,268,11,4,0.9790000000000001,0,0,0,0.0,0.326,622,564,112,184,34,5,28,312,135,3,8
335,2015,김성욱,NC,우익수,19,2,65.0,0,0,16,1,0,1.0,0,0,0,0.0,0.258,204,182,32,47,8,1,3,66,26,0,1
355,2015,윤병호,NC,우익수,4,0,19.0,0,0,4,0,0,1.0,0,0,0,0.0,0.111,9,9,0,1,0,0,0,1,0,0,0
364,2015,브라운,SK,우익수,84,75,610.3333333333334,1,0,119,7,1,0.992,0,0,0,0.0,0.261,539,464,82,121,21,2,28,230,76,0,2
375,2015,조동화,SK,우익수,37,15,159.66666666666666,1,0,32,2,1,0.971,0,0,0,0.0,0.261,304,245,38,64,6,1,2,78,15,22,2
378,2015,박재상,SK,우익수,37,19,183.0,1,0,30,2,0,0.97,0,0,0,0.0,0.248,292,250,34,62,12,2,7,99,37,6,1
383,2015,정의윤,SK,우익수,32,27,217.0,0,0,36,3,2,1.0,0,0,0,0.0,0.32,297,259,38,83,14,0,14,139,51,0,3
394,2015,윤중환,SK,우익수,8,4,44.0,0,0,7,0,0,1.0,0,0,0,0.0,0.24,28,25,1,6,0,0,1,9,4,0,0
405,2016,이택근,키움,우익수,79,73,571.3333333333334,0,0,126,6,0,1.0,0,0,0,0.0,0.309,460,398,64,123,19,1,8,168,65,0,6
410,2016,대니돈,키움,우익수,50,49,389.0,1,0,98,5,0,0.99,0,0,0,0.0,0.295,497,417,65,123,33,1,16,206,70,1,4
413,2016,박정음,키움,우익수,45,16,174.0,1,0,41,0,0,0.976,0,0,0,0.0,0.309,263,223,45,69,5,3,4,92,26,5,2
416,2016,유재신,키움,우익수,18,0,28.0,0,0,5,0,0,1.0,0,0,0,0.0,0.258,74,62,20,16,0,0,0,16,6,2,0
425,2016,강지광,키움,우익수,18,2,45.0,0,0,10,0,0,1.0,0,0,0,0.0,0.19699999999999998,80,66,10,13,2,0,1,18,7,1,1
428,2016,김민준,키움,우익수,11,2,39.0,0,0,9,0,0,1.0,0,0,0,0.0,0.083,13,12,4,1,0,0,0,1,0,0,0
446,2016,민병헌,두산,우익수,90,55,549.6666666666666,0,0,110,2,0,1.0,0,0,0,0.0,0.325,579,511,98,166,31,4,16,253,87,1,4
449,2016,박건우,두산,우익수,75,63,514.6666666666666,1,0,104,4,2,0.991,0,0,0,0.0,0.335,540,484,95,162,36,4,20,266,83,4,5
458,2016,조수행,두산,우익수,14,0,26.0,0,0,6,0,0,1.0,0,0,0,0.0,0.276,29,29,16,8,0,0,0,8,3,0,0
462,2016,국해성,두산,우익수,29,24,174.0,1,0,46,4,1,0.98,0,0,0,0.0,0.278,174,151,28,42,11,0,4,65,24,0,1
468,2016,정진호,두산,우익수,7,0,14.333333333333336,0,0,4,0,0,1.0,0,0,0,0.0,0.375,32,24,9,9,0,1,0,11,3,0,0
470,2016,김인태,두산,우익수,4,1,9.0,0,0,2,0,0,1.0,0,0,0,0.0,0.16699999999999998,19,18,0,3,1,0,0,4,3,0,0
474,2016,손아섭,롯데,우익수,143,142,1189.0,3,0,247,6,1,0.988,0,0,0,0.0,0.32299999999999995,672,575,118,186,33,1,16,269,81,0,2
490,2016,이우민,롯데,우익수,6,0,20.33333333333333,0,0,4,0,0,1.0,0,0,0,0.0,0.193,98,83,19,16,5,0,1,24,8,4,0
500,2016,김민하,롯데,우익수,12,0,26.0,0,0,6,0,0,1.0,0,0,0,0.0,0.2,49,45,8,9,1,0,1,13,1,2,0
523,2016,박한이,삼성,우익수,88,80,638.0,0,0,132,4,0,1.0,0,0,0,0.0,0.301,401,349,57,105,21,0,14,168,69,6,4
531,2016,배영섭,삼성,우익수,60,45,415.66666666666674,0,0,98,3,0,1.0,0,0,0,0.0,0.266,381,323,53,86,17,0,4,115,22,1,1
538,2016,이영욱,삼성,우익수,32,0,59.33333333333334,0,0,12,1,0,1.0,0,0,0,0.0,0.163,52,49,16,8,1,0,1,12,4,0,0
542,2016,최선호,삼성,우익수,9,0,19.0,0,0,8,0,0,1.0,0,0,0,0.0,0.115,27,26,11,3,1,0,0,4,3,0,0
544,2016,우동균,삼성,우익수,16,14,115.0,2,0,31,1,1,0.941,0,0,0,0.0,0.221,82,68,14,15,1,0,2,22,10,1,1
554,2016,최재원,삼성,우익수,5,3,23.0,0,0,7,0,0,1.0,0,0,0,0.0,0.33299999999999996,105,81,20,27,3,0,4,42,16,2,2
562,2016,양성우,한화,우익수,89,69,640.0,1,0,148,6,0,0.9940000000000001,0,0,0,0.0,0.271,446,384,52,104,12,4,4,136,53,8,6
567,2016,김경언,한화,우익수,58,52,384.0,1,0,81,4,1,0.988,0,0,0,0.0,0.264,217,182,23,48,6,1,5,71,25,2,3
570,2016,장민석,한화,우익수,18,8,83.66666666666667,0,0,21,1,0,1.0,0,0,0,0.0,0.22899999999999998,227,205,38,47,7,3,1,63,16,6,0
573,2016,이성열,한화,우익수,21,13,104.33333333333331,0,0,31,2,0,1.0,0,0,0,0.0,0.28800000000000003,219,198,29,57,7,3,10,100,29,2,0
593,2016,김원석,한화,우익수,7,1,16.666666666666668,0,0,2,0,0,1.0,0,0,0,0.0,0.25,9,8,2,2,0,0,0,2,0,0,0
600,2016,서동욱,KIA,우익수,16,9,83.0,0,0,18,0,0,1.0,0,0,0,0.0,0.292,485,411,73,120,30,3,16,204,67,6,3
607,2016,신종길,KIA,우익수,55,49,370.0,0,0,72,0,0,1.0,0,0,0,0.0,0.31,240,213,34,66,8,3,1,83,12,1,0
613,2016,김주형,KIA,우익수,15,6,39.66666666666666,0,0,7,0,0,1.0,0,0,0,0.0,0.281,387,345,43,97,16,1,19,172,49,1,1
614,2016,노수광,KIA,우익수,46,25,244.0,1,0,62,2,2,0.985,0,0,0,0.0,0.309,238,207,43,64,4,2,4,84,30,10,0
617,2016,이호신,KIA,우익수,44,5,126.0,0,0,29,1,0,1.0,0,0,0,0.0,0.154,43,39,1,6,2,0,0,8,2,1,1
623,2016,오준혁,KIA,우익수,19,15,110.33333333333331,0,0,25,1,0,1.0,0,0,0,0.0,0.265,144,132,18,35,8,4,2,57,15,2,0
628,2016,윤정우,KIA,우익수,14,10,64.33333333333333,0,0,7,0,0,1.0,0,0,0,0.0,0.299,82,67,20,20,5,0,2,31,13,2,1
630,2016,김원섭,KIA,우익수,13,7,66.66666666666667,0,0,17,1,0,1.0,0,0,0,0.0,0.21899999999999997,90,73,10,16,5,0,0,21,12,1,1
632,2016,이진영,KIA,우익수,13,6,69.33333333333333,1,0,14,0,0,0.9329999999999999,0,0,0,0.0,0.138,33,29,4,4,0,0,0,4,2,1,0
633,2016,김다원,KIA,우익수,12,7,55.0,0,0,11,0,0,1.0,0,0,0,0.0,0.302,47,43,3,13,2,0,1,18,6,0,0
644,2016,유한준,KT,우익수,89,82,686.6666666666666,1,0,147,8,0,0.9940000000000001,0,0,0,0.0,0.336,460,408,70,137,22,0,14,201,64,0,3
657,2016,하준호,KT,우익수,29,10,119.0,0,0,29,1,1,1.0,0,0,0,0.0,0.21899999999999997,217,187,26,41,5,0,3,55,15,4,1
659,2016,전민수,KT,우익수,36,25,247.33333333333331,0,0,53,6,2,1.0,0,0,0,0.0,0.305,240,213,31,65,14,1,3,90,29,4,0
668,2016,이진영,KT,우익수,16,13,100.0,0,0,27,0,0,1.0,0,0,0,0.0,0.332,424,371,49,123,23,1,10,178,72,0,5
669,2016,김사연,KT,우익수,14,10,89.0,0,0,27,3,1,1.0,0,0,0,0.0,0.25,63,56,6,14,1,0,0,15,4,0,0
682,2016,채은성,LG,우익수,95,79,665.0,1,0,146,5,0,0.993,0,0,0,0.0,0.313,451,403,64,126,20,3,9,179,81,2,8
688,2016,이병규,LG,우익수,16,14,102.33333333333331,0,0,11,1,0,1.0,0,0,0,0.0,1.0,1,1,0,1,0,0,0,1,0,0,0
689,2016,이병규,LG,우익수,16,14,102.33333333333331,0,0,11,1,0,1.0,0,0,0,0.0,0.272,350,290,43,79,12,2,7,116,37,0,3
694,2016,김용의,LG,우익수,14,9,74.0,0,0,16,0,0,1.0,0,0,0,0.0,0.318,347,308,62,98,18,4,1,127,20,4,0
697,2016,이천웅,LG,우익수,48,25,253.66666666666663,2,0,43,1,0,0.9570000000000001,0,0,0,0.0,0.293,320,276,38,81,10,1,6,111,41,6,1
701,2016,임훈,LG,우익수,30,6,96.0,0,0,24,0,0,1.0,0,0,0,0.0,0.261,198,180,20,47,4,0,1,54,14,4,0
703,2016,이형종,LG,우익수,23,9,85.66666666666667,0,0,19,0,0,1.0,0,0,0,0.0,0.282,147,124,14,35,4,2,1,46,14,5,1
