,연도,선수이름,팀명,포지션,경기수,선발경기,이닝,실책,견제사,자살,보살,병살,수비율,포일,도루허용,도루저지,도루저지율,타율,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이
14,2015,고종욱,키움,좌익수,66,57,481.66666666666674,3,0,104,1,0,0.972,0,0,0,0.0,0.31,443,407,81,126,25,4,10,189,51,4,1
16,2015,스나이더,키움,좌익수,50,39,356.66666666666674,1,0,73,2,0,0.987,0,0,0,0.0,0.281,487,431,88,121,26,1,26,227,71,3,5
19,2015,박헌도,키움,좌익수,54,37,340.6666666666667,0,0,58,0,0,1.0,0,0,0,0.0,0.248,267,218,31,54,13,0,8,91,42,3,2
26,2015,문우람,키움,좌익수,17,5,65.33333333333333,0,0,12,2,0,1.0,0,0,0,0.0,0.235,138,119,22,28,10,0,2,44,22,1,3
31,2015,유재신,키움,좌익수,4,0,6.666666666666668,0,0,0,0,0,0.0,0,0,0,0.0,0.259,32,27,21,7,2,0,0,9,3,2,0
39,2015,강지광,키움,좌익수,4,3,23.0,1,0,5,0,0,0.833,0,0,0,0.0,0.278,21,18,3,5,0,0,0,5,2,0,0
43,2015,김현수,두산,좌익수,120,118,962.6666666666665,1,0,205,3,0,0.995,0,0,0,0.0,0.326,630,512,103,167,26,0,28,277,121,0,9
55,2015,정진호,두산,좌익수,37,17,199.66666666666663,0,0,33,1,0,1.0,0,0,0,0.0,0.23399999999999999,172,154,37,36,5,3,4,59,18,3,0
61,2015,박건우,두산,좌익수,18,9,83.0,1,0,20,1,0,0.955,0,0,0,0.0,0.342,175,158,31,54,12,0,5,81,26,2,0
65,2015,장민석,두산,좌익수,19,0,38.66666666666666,0,0,8,1,0,1.0,0,0,0,0.0,0.18899999999999997,63,53,15,10,2,0,0,12,4,1,1
84,2015,아두치,롯데,좌익수,89,56,559.3333333333334,1,0,120,7,0,0.992,0,0,0,0.0,0.314,594,526,105,165,34,5,28,293,106,1,4
87,2015,김문호,롯데,좌익수,68,59,464.33333333333326,3,0,89,4,1,0.9690000000000001,0,0,0,0.0,0.306,325,288,35,88,13,0,4,113,31,6,2
90,2015,이우민,롯데,좌익수,3,0,3.0,0,0,0,0,0,0.0,0,0,0,0.0,0.22699999999999998,174,141,18,32,4,0,4,48,18,17,0
100,2015,김주현,롯데,좌익수,21,10,92.66666666666669,2,0,19,1,0,0.909,0,0,0,0.0,0.26,79,73,7,19,4,0,2,29,12,1,0
102,2015,임재철,롯데,좌익수,19,10,88.0,0,0,15,3,1,1.0,0,0,0,0.0,0.154,63,52,6,8,2,0,1,13,3,3,0
118,2015,최형우,삼성,좌익수,134,134,1060.6666666666667,2,0,214,6,0,0.991,0,0,0,0.0,0.318,637,547,94,174,33,1,33,308,123,0,8
130,2015,구자욱,삼성,좌익수,3,3,19.0,1,0,5,0,0,0.833,0,0,0,0.0,0.349,465,410,97,143,33,5,11,219,57,0,4
132,2015,박찬도,삼성,좌익수,68,2,129.33333333333334,0,0,29,0,0,1.0,0,0,0,0.0,0.213,106,89,32,19,2,1,0,23,9,5,0
144,2015,이영욱,삼성,좌익수,3,0,6.0,0,0,1,0,0,1.0,0,0,0,0.0,0.22699999999999998,26,22,8,5,2,0,0,7,2,0,0
147,2015,최선호,삼성,좌익수,11,0,18.0,0,0,3,0,0,1.0,0,0,0,0.0,0.16699999999999998,44,42,8,7,1,0,0,8,1,2,0
151,2015,배영섭,삼성,좌익수,4,4,33.333333333333336,0,0,0,1,0,1.0,0,0,0,0.0,0.375,18,16,2,6,0,0,0,6,2,0,0
167,2015,최진행,한화,좌익수,72,67,545.0,1,0,130,4,0,0.993,0,0,0,0.0,0.29100000000000004,410,333,55,97,17,0,18,168,64,5,3
170,2015,김경언,한화,좌익수,16,12,106.0,0,0,28,1,0,1.0,0,0,0,0.0,0.337,437,377,58,127,21,1,16,198,78,5,3
172,2015,이성열,한화,좌익수,57,38,322.3333333333333,2,0,70,3,0,0.973,0,0,0,0.0,0.25,268,232,35,58,10,2,9,99,36,5,2
175,2015,송주호,한화,좌익수,56,13,206.66666666666663,1,0,50,0,0,0.98,0,0,0,0.0,0.2,156,140,18,28,6,0,1,37,9,8,0
186,2015,장운호,한화,좌익수,6,0,8.666666666666666,0,0,2,1,1,1.0,0,0,0,0.0,0.254,141,114,17,29,4,0,2,39,8,11,0
191,2015,고동진,한화,좌익수,9,5,34.333333333333336,0,0,5,1,0,1.0,0,0,0,0.0,0.16899999999999998,70,59,5,10,4,0,0,14,7,5,0
195,2015,폭스,한화,좌익수,7,4,28.66666666666667,0,0,6,0,0,1.0,0,0,0,0.0,0.278,121,108,16,30,4,0,7,55,25,0,2
